date,PP
2014/11/14,92
2014/11/17,96.5
2014/11/19,96.5
2014/11/21,96
2014/11/24,99
2014/11/26,93
2014/11/27,91.3
2014/11/28,89.5
2014/12/1,94.5
2014/12/3,95
2014/12/4,95.5
2014/12/5,95.5
2014/12/8,102
2014/12/10,99.2
2014/12/12,96.5
2014/12/15,98.5
2014/12/16,98
2014/12/17,90
2014/12/19,80
2014/12/22,80.5
2014/12/24,72
2014/12/26,68.5
2014/12/29,76
2014/12/31,78
2015/1/4,88
2015/1/5,90
2015/1/7,90
2015/1/9,90.5
2015/1/12,93
2015/1/14,89
2015/1/15,84
2015/1/16,76
2015/1/19,78
2015/1/21,73.5
2015/1/23,72
2015/1/26,79
2015/1/27,77
2015/1/28,74
2015/1/29,73
2015/1/30,71
2015/2/2,78.5
2015/2/4,70.5
2015/2/5,65.5
2015/2/6,60
2015/2/9,60.5
2015/2/10,58
2015/2/13,57
2015/2/16,58
2015/2/25,96
2015/2/27,95.5
2015/3/2,101
2015/3/4,94.5
2015/3/5,93
2015/3/6,94
2015/3/9,104
2015/3/10,105
2015/3/11,105
2015/3/12,106
2015/3/13,99
2015/3/16,100
2015/3/17,97
2015/3/18,96
2015/3/19,95
2015/3/20,93
2015/3/23,97.3
2015/3/24,92
2015/3/25,90
2015/3/26,88
2015/3/27,84
2015/3/30,90
2015/3/31,89.5
2015/4/1,88.5
2015/4/2,87.5
2015/4/3,84.5
2015/4/7,90.5
2015/4/8,89
2015/4/9,88.5
2015/4/10,88.5
2015/4/13,91.5
2015/4/15,93
2015/4/16,95
2015/4/17,93
2015/4/20,93
2015/4/21,89.5
2015/4/22,87
2015/4/24,81
2015/4/27,82
2015/4/28,79
2015/4/29,76
2015/4/30,78
2015/5/4,85
2015/5/5,82.5
2015/5/6,81
2015/5/7,81
2015/5/8,82.5
2015/5/11,90
2015/5/12,91.5
2015/5/13,91
2015/5/14,89
2015/5/15,86
2015/5/18,91.5
2015/5/19,91.5
2015/5/20,93
2015/5/22,84
2015/5/25,82
2015/5/26,78
2015/5/27,74
2015/5/28,74.5
2015/5/29,75
2015/6/1,77.5
2015/6/2,79.5
2015/6/3,80
2015/6/4,78
2015/6/5,77.5
2015/6/8,80.5
2015/6/9,80
2015/6/12,68
2015/6/15,72
2015/6/16,72
2015/6/17,73
2015/6/18,72
2015/6/19,73.5
2015/6/23,82
2015/6/24,81.5
2015/6/25,77.5
2015/6/26,74.5
2015/6/29,77
2015/7/1,77.5
2015/7/2,74.5
2015/7/3,73.5
2015/7/6,79.5
2015/7/7,80.5
2015/7/8,82.5
2015/7/10,79.5
2015/7/13,81.5
2015/7/14,77
2015/7/15,76
2015/7/16,77
2015/7/17,77.5
2015/7/20,83
2015/7/21,84
2015/7/22,83.3
2015/7/23,78
2015/7/24,74.8
2015/7/27,81
2015/7/28,81
2015/7/29,77
2015/7/31,73
2015/8/3,79
2015/8/4,81
2015/8/5,79
2015/8/6,76
2015/8/7,75
2015/8/10,80
2015/8/11,75.5
2015/8/13,72.5
2015/8/14,69.5
2015/8/17,75
2015/8/18,76
2015/8/19,76
2015/8/20,76.5
2015/8/21,78.5
2015/8/24,81.5
2015/8/25,83
2015/8/26,83
2015/8/28,74
2015/8/31,76.5
2015/9/1,78.5
2015/9/2,72.5
2015/9/7,86
2015/9/8,86
2015/9/9,87
2015/9/10,85
2015/9/11,84
2015/9/14,88.5
2015/9/15,87.5
2015/9/16,86.5
2015/9/17,84
2015/9/18,79.5
2015/9/21,83
2015/9/22,82
2015/9/23,78.5
2015/9/24,75.7
2015/9/25,72.9
2015/9/28,78
2015/9/29,76.5
2015/9/30,74
2015/10/8,102
2015/10/9,97
2015/10/10,88
2015/10/12,88
2015/10/13,86.5
2015/10/14,85.5
2015/10/15,86
2015/10/19,91
2015/10/20,90.9
2015/10/21,88
2015/10/22,86
2015/10/23,82
2015/10/26,85
2015/10/27,81.8
2015/10/28,79
2015/10/29,76.5
2015/10/30,72.5
2015/11/2,80
2015/11/3,78
2015/11/4,77.5
2015/11/5,76
2015/11/6,74.5
2015/11/9,81.5
2015/11/10,81
2015/11/11,80
2015/11/12,79
2015/11/13,78
2015/11/16,83.5
2015/11/17,83
2015/11/18,82.9
2015/11/19,80.5
2015/11/20,77
2015/11/23,81
2015/11/24,81
2015/11/25,74.5
2015/11/26,68.8
2015/11/27,64.5
2015/11/30,68
2015/12/1,73
2015/12/2,69.5
2015/12/3,66.6
2015/12/4,66
2015/12/7,72.5
2015/12/8,73.3
2015/12/9,74
2015/12/10,74.5
2015/12/11,74
2015/12/14,79.5
2015/12/15,77.8
2015/12/16,75.1
2015/12/17,73.4
2015/12/18,69.6
2015/12/21,72
2015/12/22,70
2015/12/23,64.6
2015/12/24,59.2
2015/12/25,56.6
2015/12/28,63
2015/12/29,62.6
2015/12/30,63.7
2015/12/31,65.6
2016/1/4,77.5
2016/1/5,75.1
2016/1/6,67.7
2016/1/7,66.2
2016/1/8,67.3
2016/1/11,76
2016/1/12,73.48
2016/1/13,71.96
2016/1/14,69.29
2016/1/15,65.27
2016/1/18,68
2016/1/19,62
2016/1/20,56.7
2016/1/21,54.3
2016/1/22,52
2016/1/25,57.5
2016/1/26,52.6
2016/1/27,50.6
2016/1/28,49.6
2016/1/29,51.2
2016/2/1,60.6
2016/2/2,57.6
2016/2/3,56.5
2016/2/4,55.5
2016/2/5,56.5
2016/2/15,98
2016/2/16,99.2
2016/2/17,100.6
2016/2/18,101.5
2016/2/19,101.4
2016/2/22,105
2016/2/23,100.7
2016/2/24,96.5
2016/2/25,93.2
2016/2/26,88.6
2016/2/29,97.5
2016/3/1,96.1
2016/3/2,90
2016/3/3,83.4
2016/3/4,79.4
2016/3/7,85
2016/3/8,80.2
2016/3/9,77.3
2016/3/10,75.7
2016/3/11,74.4
2016/3/14,83.5
2016/3/15,82.1
2016/3/16,81.8
2016/3/17,79.9
2016/3/18,75.2
2016/3/21,79
2016/3/22,74.3
2016/3/23,71.3
2016/3/24,69.5
2016/3/25,71.3
2016/3/28,79
2016/3/29,73.8
2016/3/30,72.2
2016/3/31,74.1
2016/4/1,77.7
2016/4/5,84.5
2016/4/6,79.9
2016/4/7,79.3
2016/4/8,79
2016/4/11,86
2016/4/12,86.4
2016/4/13,86.8
2016/4/14,85.1
2016/4/15,84.1
2016/4/18,91
2016/4/19,89.9
2016/4/20,90.8
2016/4/21,89.1
2016/4/22,85.8
2016/4/25,85.5
2016/4/26,78.5
2016/4/27,72.2
2016/4/28,69.1
2016/4/29,74.4
2016/5/3,84
2016/5/4,85.9
2016/5/5,83.5
2016/5/6,83.1
2016/5/9,91
2016/5/10,87.5
2016/5/11,84.2
2016/5/12,79.4
2016/5/13,75
2016/5/16,82
2016/5/17,80.5
2016/5/18,80.1
2016/5/19,76.5
2016/5/20,74
2016/5/23,80
2016/5/24,77
2016/5/25,75
2016/5/26,72.2
2016/5/27,68.6
2016/5/30,76.5
2016/5/31,73.2
2016/6/1,74.9
2016/6/2,71.5
2016/6/3,69.1
2016/6/6,71.5
2016/6/7,68
2016/6/8,66.3
2016/6/12,76
2016/6/13,73.5
2016/6/14,69.86
2016/6/15,68.3
2016/6/16,66.9
2016/6/17,65.3
2016/6/20,71.5
2016/6/21,68.8
2016/6/22,67.2
2016/6/23,65.1
2016/6/24,64.7
2016/6/27,70.5
2016/6/28,65.9
2016/6/29,62.7
2016/6/30,65.1
2016/7/1,70.9
2016/7/4,70.5
2016/7/5,67.4
2016/7/6,65.2
2016/7/7,65.4
2016/7/8,66.2
2016/7/11,77
2016/7/12,77.4
2016/7/13,76.4
2016/7/14,74.6
2016/7/15,75
2016/7/18,83.2
2016/7/19,81.7
2016/7/20,81
2016/7/21,79.5
2016/7/22,74.9
2016/7/25,80
2016/7/26,75.3
2016/7/27,73.7
2016/7/28,71
2016/7/29,66.6
2016/8/1,78
2016/8/2,71.9
2016/8/3,70.6
2016/8/4,69.5
2016/8/5,70
2016/8/8,78
2016/8/9,74.9
2016/8/10,72.5
2016/8/11,71.3
2016/8/12,72.3
2016/8/15,78
2016/8/16,74.4
2016/8/17,73
2016/8/18,73
2016/8/19,72.1
2016/8/22,77
2016/8/23,74
2016/8/24,71
2016/8/25,68.4
2016/8/26,66.5
2016/8/29,73
2016/8/30,69.2
2016/8/31,67.8
2016/9/1,71.6
2016/9/2,71.7
2016/9/5,77.8
2016/9/6,76.1
2016/9/7,73.3
2016/9/8,70
2016/9/9,67.7
2016/9/12,73.5
2016/9/13,72
2016/9/14,69.8
2016/9/19,75.7
2016/9/20,73.9
2016/9/21,71.5
2016/9/22,68.5
2016/9/23,64
2016/9/26,68
2016/9/27,62.9
2016/9/28,56.8
2016/9/29,54
2016/9/30,55.5
2016/10/8,76
2016/10/9,70.5
2016/10/10,63
2016/10/11,58.9
2016/10/12,56
2016/10/13,54
2016/10/14,55
2016/10/17,62
2016/10/18,60.9
2016/10/19,59
2016/10/20,56.6
2016/10/21,53
2016/10/24,59.5
2016/10/25,54.8
2016/10/26,51.34
2016/10/27,49.5
2016/10/28,48.5
2016/10/31,55
2016/11/1,56.5
2016/11/2,52
2016/11/3,49.8
2016/11/4,48.1
2016/11/7,59
2016/11/8,57.55
2016/11/9,55.88
2016/11/10,54.5
2016/11/11,53.4
2016/11/14,59
2016/11/15,58.2
2016/11/16,57.8
2016/11/17,58.5
2016/11/18,59.6
2016/11/21,68
2016/11/22,65
2016/11/23,60.9
2016/11/24,60
2016/11/25,57.6
2016/11/28,66
2016/11/29,57.8
2016/11/30,56.8
2016/12/1,58.6
2016/12/2,56
2016/12/5,62
2016/12/6,52.7
2016/12/7,54.6
2016/12/8,50.4
2016/12/9,48.7
2016/12/12,56
2016/12/13,51.1
2016/12/14,47.8
2016/12/15,47.1
2016/12/16,47.6
2016/12/19,55.6
2016/12/20,53.5
2016/12/21,54.7
2016/12/22,56.6
2016/12/23,56.5
2016/12/26,64
2016/12/27,60
2016/12/28,54.6
2016/12/29,51.9
2016/12/30,53.1
2017/1/3,71
2017/1/4,69.5
2017/1/5,68.5
2017/1/6,66
2017/1/9,73
2017/1/10,75
2017/1/11,75
2017/1/12,70
2017/1/13,66
2017/1/16,70
2017/1/17,60
2017/1/18,49.3
2017/1/19,48.2
2017/1/20,48.3
2017/1/23,50.7
2017/1/24,50.7
2017/2/3,96.1
2017/2/6,97.5
2017/2/7,93.5
2017/2/8,92
2017/2/9,93.1
2017/2/10,93.1
2017/2/13,101
2017/2/14,96.2
2017/2/15,95
2017/2/16,93.5
2017/2/17,95.1
2017/2/20,106
2017/2/21,105.5
2017/2/22,101.3
2017/2/24,100.6
2017/2/27,102.5
2017/2/28,96.3
2017/3/1,97.3
2017/3/2,98
2017/3/3,98
2017/3/6,105
2017/3/7,98.5
2017/3/8,96.9
2017/3/9,97.5
2017/3/10,97.5
2017/3/13,103.5
2017/3/14,100
2017/3/15,95.1
2017/3/16,92.53
2017/3/17,88.1
2017/3/20,93
2017/3/21,85.95
2017/3/22,84.1
2017/3/23,83.7
2017/3/24,82.9
2017/3/27,93
2017/3/28,91.4
2017/3/29,88.4
2017/3/30,85.7
2017/3/31,84.8
2017/4/5,96
2017/4/6,90.1
2017/4/7,86.5
2017/4/10,92
2017/4/11,87.4
2017/4/12,86.8
2017/4/13,87.1
2017/4/14,86.6
2017/4/17,95.5
2017/4/18,92.6
2017/4/19,92.5
2017/4/20,92.5
2017/4/21,91
2017/4/24,94
2017/4/25,88.8
2017/4/26,86.9
2017/4/27,81.6
2017/4/28,78
2017/5/2,91
2017/5/3,87.6
2017/5/4,86.1
2017/5/5,84.5
2017/5/8,92
2017/5/9,88
2017/5/10,87
2017/5/11,85
2017/5/12,80.5
2017/5/15,85
2017/5/16,79
2017/5/17,74.5
2017/5/18,73
2017/5/19,71
2017/5/22,75
2017/5/23,73.5
2017/5/24,72
2017/5/25,69
2017/5/26,66
2017/5/31,77
2017/6/1,81
2017/6/2,80.5
2017/6/5,87
2017/6/6,84.5
2017/6/7,83
2017/6/8,82
2017/6/9,79
2017/6/12,82
2017/6/13,75
2017/6/14,73
2017/6/15,72.5
2017/6/16,72.5
2017/6/19,79
2017/6/20,74
2017/6/21,71.5
2017/6/22,72
2017/6/23,70.5
2017/6/26,75.5
2017/6/27,71.3
2017/6/28,68
2017/6/29,63
2017/6/30,66.5
2017/7/3,73
2017/7/4,67
2017/7/5,66
2017/7/6,63
2017/7/7,61.5
2017/7/10,70
2017/7/11,66.5
2017/7/12,63
2017/7/13,60
2017/7/14,58
2017/7/17,67
2017/7/18,64
2017/7/19,63
2017/7/20,59.5
2017/7/21,56.5
2017/7/24,65
2017/7/25,60.5
2017/7/26,57.6
2017/7/27,55
2017/7/28,54.5
2017/7/31,66
2017/8/1,69.5
2017/8/2,65
2017/8/3,63
2017/8/4,60
2017/8/7,71
2017/8/8,64.3
2017/8/9,62.5
2017/8/10,59
2017/8/11,57
2017/8/14,67
2017/8/15,65.5
2017/8/16,65.5
2017/8/17,65
2017/8/18,61
2017/8/21,69
2017/8/22,61.5
2017/8/23,60
2017/8/24,56.5
2017/8/25,55
2017/8/28,61.5
2017/8/29,60
2017/8/30,58.7
2017/8/31,60
2017/9/1,63.5
2017/9/4,66.5
2017/9/5,63.5
2017/9/6,61
2017/9/7,60
2017/9/8,61
2017/9/11,69
2017/9/12,69
2017/9/13,67.5
2017/9/14,68.1
2017/9/15,69
2017/9/18,75
2017/9/19,74.5
2017/9/20,73
2017/9/21,68.5
2017/9/22,68
2017/9/25,76
2017/9/26,67
2017/9/27,62.5
2017/9/28,58
2017/9/29,56.5
2017/9/30,60
2017/10/9,82.5
2017/10/10,78.5
2017/10/11,75
2017/10/12,74
2017/10/13,71.5
2017/10/16,72
2017/10/17,65.5
2017/10/18,65
2017/10/19,63
2017/10/20,64
2017/10/23,68
2017/10/24,66.5
2017/10/25,63.5
2017/10/26,62.5
2017/10/27,62.5
2017/10/30,68
2017/10/31,67
2017/11/1,68
2017/11/2,64
2017/11/3,62.5
2017/11/6,68.5
2017/11/7,63
2017/11/8,61
2017/11/9,59
2017/11/10,57
2017/11/13,66
2017/11/14,62
2017/11/15,62
2017/11/16,62.5
2017/11/17,63
2017/11/20,69
2017/11/21,63.5
2017/11/22,60
2017/11/23,59
2017/11/24,57.5
2017/11/27,64
2017/11/28,61
2017/11/29,61.5
2017/11/30,63
2017/12/1,63
2017/12/4,67
2017/12/5,63
2017/12/6,60.5
2017/12/7,59.5
2017/12/8,59.5
2017/12/11,67.5
2017/12/12,65
2017/12/13,62.5
2017/12/14,63
2017/12/15,62.5
2017/12/18,68
2017/12/19,65
2017/12/20,61
2017/12/21,59.5
2017/12/22,56.5
2017/12/25,62
2017/12/26,60
2017/12/27,57
2017/12/28,54
2017/12/29,54
2018/1/2,71
2018/1/3,64
2018/1/4,61
2018/1/5,60
2018/1/8,65
2018/1/9,61.5
2018/1/10,59
2018/1/11,56
2018/1/12,55.5
2018/1/15,63
2018/1/16,57.5
2018/1/17,56.5
2018/1/18,56.5
2018/1/19,57
2018/1/22,63.5
2018/1/23,60.5
2018/1/24,57
2018/1/25,55.5
2018/1/26,54
2018/1/29,62.5
2018/1/30,59
2018/1/31,59
2018/2/1,62
2018/2/2,58.5
2018/2/5,68.5
2018/2/6,64.5
2018/2/7,63
2018/2/8,63
2018/2/9,63
2018/2/12,65
2018/2/13,68
2018/2/14,70
2018/2/22,98
2018/2/23,101
2018/2/26,102
2018/2/27,98
2018/2/28,92
2018/3/1,93.5
2018/3/2,90
2018/3/5,98.5
2018/3/6,96.5
2018/3/7,95
2018/3/8,94.5
2018/3/9,94.5
2018/3/12,100.5
2018/3/13,99
2018/3/14,97
2018/3/15,95
2018/3/16,93.5
2018/3/19,99.5
2018/3/20,97.5
2018/3/21,95
2018/3/22,92.5
2018/3/23,88.5
2018/3/26,96.5
2018/3/27,91.5
2018/3/28,87
2018/3/29,85
2018/3/30,83
2018/4/2,91
2018/4/3,89
2018/4/4,83.5
2018/4/8,88
2018/4/9,88
2018/4/10,83.5
2018/4/11,81
2018/4/12,80
2018/4/13,78.5
2018/4/16,87
2018/4/17,83.5
2018/4/18,83.5
2018/4/19,81
2018/4/20,80
2018/4/23,86
2018/4/24,84.5
2018/4/25,82
2018/4/26,79
2018/4/27,75
2018/5/2,86
2018/5/3,81.5
2018/5/4,79
2018/5/7,82.5
2018/5/8,78.5
2018/5/9,76.5
2018/5/10,74.5
2018/5/11,73
2018/5/14,82
2018/5/15,78.5
2018/5/16,79
2018/5/17,76.5
2018/5/18,75.5
2018/5/21,81.5
2018/5/22,74.5
2018/5/23,73
2018/5/24,72.5
2018/5/25,73.5
2018/5/28,77.1
2018/5/29,74.5
2018/5/30,72
2018/5/31,72.5
2018/6/1,74
2018/6/4,78
2018/6/5,74.5
2018/6/6,72.5
2018/6/7,70
2018/6/8,70
2018/6/11,75.5
2018/6/12,70.5
2018/6/13,67.5
2018/6/14,69
2018/6/15,69
2018/6/19,79.5
2018/6/20,79.5
2018/6/21,77.5
2018/6/22,75.5
2018/6/25,78.5
2018/6/26,75
2018/6/27,71.5
2018/6/28,69
2018/6/29,66
2018/7/2,75.5
2018/7/3,72.5
2018/7/4,69
2018/7/5,68
2018/7/6,69
2018/7/9,78
2018/7/10,73
2018/7/11,70
2018/7/12,68.5
2018/7/13,66
2018/7/16,73.5
2018/7/17,71
2018/7/18,68.5
2018/7/19,68.5
2018/7/20,68
2018/7/23,73
2018/7/24,69
2018/7/25,66.5
