,每日PnL,净值,资金占用比例,杠杆倍数
2017-06-23,-410.0,1.35162,0.05057316405498588,0.97651
2017-06-26,-4690.0,1.3469300000000002,0.051014826308716864,0.98162
2017-06-27,9550.0,1.3564800000000001,0.05143231009672093,0.99667
2017-06-28,9220.0,1.3657000000000001,0.05216401845207586,1.01772
2017-06-29,-1840.0,1.36386,0.05440954350153242,1.0601
2017-06-30,3800.0,1.36766,0.05546780632613369,1.08373
2017-07-03,3690.0,1.37135,0.05418383344879134,1.0615
2017-07-04,4050.0,1.3754000000000002,0.054884906209102816,1.07841
2017-07-05,-2830.0,1.37257,0.0567039932389605,1.11186
2017-07-06,-6000.0,1.36657,0.05675523390678854,1.108
2017-07-07,-2150.0,1.3644200000000002,0.05719866316823267,1.1149
2017-07-10,4080.0,1.3685,0.055452685421994885,1.0841
2017-07-11,5420.0,1.37392,0.0569498951904041,1.11778
2017-07-12,-4720.0,1.3692000000000002,0.054990286298568516,1.07561
2017-07-13,10410.0,1.37961,0.053940606403258894,1.0631
2017-07-14,-12899.999999999985,1.36671,0.055975005670551914,1.09288
2017-07-17,9539.999999999993,1.3762500000000002,0.05358706630336058,1.05356
2017-07-18,-11599.99999999998,1.3646500000000001,0.055426006668376514,1.08053
2017-07-19,380.0000000000073,1.3650300000000002,0.05623825117396688,1.09667
2017-07-20,-11060.000000000022,1.3539700000000001,0.05635435053952451,1.09003
2017-07-21,-3170.000000000007,1.3508,0.05503249925969796,1.06197
2017-07-24,1270.0000000000273,1.35207,0.05490521940432079,1.06051
2017-07-25,5599.999999999986,1.3576700000000002,0.054864105415896355,1.064105
2017-07-26,5384.999999999986,1.3630550000000001,0.0543666983357238,1.05864
2017-07-27,-4584.999999999973,1.35847,0.05323776012720193,1.03317
2017-07-28,1844.9999999999864,1.3603150000000002,0.052681584779995815,1.023765
2017-07-31,1234.9999999999854,1.36155,0.05515735742352467,1.07285
2017-08-01,2040.0000000000073,1.36359,0.05731920885310101,1.11657
2017-08-02,-2674.9999999999864,1.360915,0.05700675648368929,1.108305
2017-08-03,15399.999999999985,1.3763150000000002,0.05735176903543157,1.12763
2017-08-04,-1304.9999999999854,1.37501,0.05370615486432827,1.05495
2017-08-07,7839.999999999986,1.3828500000000001,0.050046064287522146,0.98866
2017-08-08,-6260.0,1.3765900000000002,0.05184492114572967,1.01956
2017-08-09,5235.000000000007,1.381825,0.05229160711378069,1.032255
2017-08-10,-3035.000000000007,1.3787900000000002,0.053961009290754945,1.06287
2017-08-11,-8260.0,1.37053,0.05347923795903775,1.04707
2017-08-14,960.0000000000136,1.37149,0.05134000247905564,1.00589
