dt,sm cfr
2015/1/21,905.0
2015/1/22,910.0
2015/1/23,920.0
2015/1/26,905.0
2015/1/27,905.0
2015/1/28,910.0
2015/1/29,920.0
2015/1/30,920.0
2015/2/2,922.5
2015/2/3,960.0
2015/2/4,975.0
2015/2/5,955.0
2015/2/6,965.0
2015/2/9,965.0
2015/2/10,975.0
2015/2/11,970.0
2015/2/12,980.0
2015/2/13,990.0
2015/2/16,990.0
2015/2/17,990.0
2015/2/18,990.0
2015/2/19,990.0
2015/2/20,990.0
2015/2/23,990.0
2015/2/24,990.0
2015/2/25,1015.0
2015/2/26,1040.0
2015/2/27,1075.0
2015/3/2,1140.0
2015/3/3,1147.5
2015/3/4,1142.5
2015/3/5,1150.0
2015/3/6,1150.0
2015/3/9,1165.0
2015/3/10,1152.5
2015/3/11,1145.0
2015/3/12,1150.0
2015/3/13,1140.0
2015/3/16,1130.0
2015/3/17,1087.5
2015/3/18,1065.0
2015/3/19,1090.0
2015/3/20,1090.0
2015/3/23,1135.0
2015/3/24,1150.0
2015/3/25,1145.0
2015/3/26,1182.5
2015/3/27,1167.5
2015/3/30,1167.5
2015/3/31,1160.0
2015/4/1,1185.0
2015/4/2,1205.0
2015/4/3,1210.0
2015/4/6,1210.0
2015/4/7,1250.0
2015/4/8,1252.5
2015/4/9,1272.5
2015/4/10,1287.5
2015/4/13,1335.0
2015/4/14,1357.5
2015/4/15,1360.0
2015/4/16,1405.0
2015/4/17,1420.0
2015/4/20,1427.5
2015/4/21,1420.0
2015/4/22,1415.0
2015/4/23,1415.0
2015/4/24,1407.5
2015/4/27,1390.0
2015/4/28,1370.0
2015/4/29,1365.0
2015/4/30,1380.0
2015/5/1,1380.0
2015/5/4,1410.0
2015/5/5,1410.0
2015/5/6,1410.0
2015/5/7,1402.5
2015/5/8,1400.0
2015/5/11,1410.0
2015/5/12,1392.5
2015/5/13,1425.0
2015/5/14,1470.0
2015/5/15,1495.0
2015/5/18,1445.0
2015/5/19,1437.5
2015/5/20,1400.0
2015/5/21,1387.5
2015/5/22,1370.0
2015/5/25,1340.0
2015/5/26,1320.0
2015/5/27,1285.0
2015/5/28,1270.0
2015/5/29,1290.0
2015/6/1,1297.5
2015/6/2,1287.5
2015/6/3,1280.0
2015/6/4,1300.0
2015/6/5,1312.5
2015/6/8,1305.0
2015/6/9,1330.0
2015/6/10,1390.0
2015/6/11,1385.0
2015/6/12,1382.5
2015/6/15,1380.0
2015/6/16,1385.0
2015/6/17,1377.5
2015/6/18,1372.5
2015/6/19,1355.0
2015/6/22,1355.0
2015/6/23,1315.0
2015/6/24,1342.5
2015/6/25,1347.5
2015/6/26,1350.0
2015/6/29,1317.5
2015/6/30,1280.0
2015/7/1,1277.5
2015/7/2,1280.0
2015/7/3,1317.5
2015/7/6,1240.0
2015/7/7,1215.0
2015/7/8,1122.5
2015/7/9,1230.0
2015/7/10,1230.0
2015/7/13,1215.0
2015/7/14,1210.0
2015/7/15,1215.0
2015/7/16,1235.0
2015/7/17,1265.0
2015/7/20,1255.0
2015/7/21,1255.0
2015/7/22,1250.0
2015/7/23,1220.0
2015/7/24,1190.0
2015/7/27,1202.5
2015/7/28,1210.0
2015/7/29,1230.0
2015/7/30,1230.0
2015/7/31,1190.0
2015/8/3,1162.5
2015/8/4,1136.0
2015/8/5,1145.0
2015/8/6,1130.0
2015/8/7,1130.0
2015/8/10,1135.0
2015/8/11,1137.5
2015/8/12,1140.0
2015/8/13,1140.0
2015/8/14,1125.0
2015/8/17,1080.0
2015/8/18,1040.0
2015/8/19,1015.0
2015/8/20,965.0
2015/8/21,950.0
2015/8/24,870.0
2015/8/25,895.0
2015/8/26,920.0
2015/8/27,940.0
2015/8/28,975.0
2015/8/31,940.0
2015/9/1,965.0
2015/9/2,960.0
2015/9/3,960.0
2015/9/4,960.0
2015/9/7,975.0
2015/9/8,955.0
2015/9/9,950.0
2015/9/10,940.0
2015/9/11,935.0
2015/9/14,925.0
2015/9/15,915.0
2015/9/16,925.0
2015/9/17,935.0
2015/9/18,935.0
2015/9/21,940.0
2015/9/22,965.0
2015/9/23,940.0
2015/9/24,940.0
2015/9/25,935.0
2015/9/28,915.0
2015/9/29,920.0
2015/9/30,905.0
2015/10/1,905.0
2015/10/2,905.0
2015/10/5,905.0
2015/10/6,905.0
2015/10/7,905.0
2015/10/8,920.0
2015/10/9,950.0
2015/10/12,965.0
2015/10/13,965.0
2015/10/14,960.0
2015/10/15,970.0
2015/10/16,980.0
2015/10/19,970.0
2015/10/20,962.5
2015/10/21,962.5
2015/10/22,955.0
2015/10/23,955.0
2015/10/26,960.0
2015/10/27,945.0
2015/10/28,930.0
2015/10/29,935.0
2015/10/30,920.0
2015/11/2,940.0
2015/11/3,930.0
2015/11/4,930.0
2015/11/5,920.0
2015/11/6,915.0
2015/11/9,917.5
2015/11/10,930.0
2015/11/11,950.0
2015/11/12,950.0
2015/11/13,955.0
2015/11/16,955.0
2015/11/17,960.0
2015/11/18,957.5
2015/11/19,957.5
2015/11/20,950.0
2015/11/23,885.0
2015/11/24,890.0
2015/11/25,877.5
2015/11/26,910.0
2015/11/27,887.5
2015/11/30,880.0
2015/12/1,885.0
2015/12/2,907.5
2015/12/3,915.0
2015/12/4,920.0
2015/12/7,930.0
2015/12/8,942.5
2015/12/9,935.0
2015/12/10,960.0
2015/12/11,935.0
2015/12/14,885.0
2015/12/15,892.5
2015/12/16,890.0
2015/12/17,897.5
2015/12/18,880.0
2015/12/21,887.5
2015/12/22,915.0
2015/12/23,917.5
2015/12/24,915.0
2015/12/25,930.0
2015/12/28,930.0
2015/12/29,922.5
2015/12/30,927.5
2015/12/31,927.5
2016/1/1,927.5
2016/1/4,940.0
2016/1/5,950.0
2016/1/6,960.0
2016/1/7,955.0
2016/1/8,955.0
2016/1/11,950.0
2016/1/12,920.0
2016/1/13,912.5
2016/1/14,920.0
2016/1/15,930.0
2016/1/18,915.0
2016/1/19,910.0
2016/1/20,900.0
