dt,pp cfr
2016/11/21,1030.0
2016/11/22,1030.0
2016/11/23,1030.0
2016/11/24,1030.0
2016/11/25,1020.0
2016/11/28,1020.0
2016/11/29,1020.0
2016/11/30,1020.0
2016/12/1,1020.0
2016/12/2,1010.0
2016/12/5,1010.0
2016/12/6,1010.0
2016/12/7,1010.0
2016/12/8,1010.0
2016/12/9,1020.0
2016/12/12,1020.0
2016/12/13,1020.0
2016/12/14,1020.0
2016/12/15,1020.0
2016/12/16,1030.0
2016/12/19,1030.0
2016/12/20,1030.0
2016/12/21,1030.0
2016/12/22,1030.0
2016/12/23,1030.0
2016/12/26,1030.0
2016/12/27,1030.0
2016/12/28,1040.0
2016/12/29,1040.0
2016/12/30,1040.0
2017/1/3,1040.0
2017/1/4,1040.0
2017/1/5,1040.0
2017/1/6,1040.0
2017/1/9,1000.0
2017/1/10,1000.0
2017/1/11,1000.0
2017/1/12,1000.0
2017/1/13,1000.0
2017/1/16,1000.0
2017/1/17,1000.0
2017/1/18,1000.0
2017/1/19,1000.0
2017/1/20,1000.0
2017/1/23,1025.0
2017/1/24,1025.0
2017/1/25,1025.0
2017/1/26,1025.0
2017/2/3,1025.0
2017/2/6,1020.0
2017/2/7,1020.0
2017/2/8,1020.0
2017/2/9,1020.0
2017/2/10,1030.0
2017/2/13,1060.0
2017/2/14,1060.0
2017/2/15,1070.0
2017/2/16,1070.0
2017/2/17,1040.0
2017/2/20,1030.0
2017/2/21,1030.0
2017/2/22,1030.0
2017/2/23,1030.0
2017/2/24,1025.0
2017/2/27,1045.0
2017/2/28,1030.0
2017/3/1,1040.0
2017/3/2,1040.0
2017/3/3,1040.0
2017/3/6,1040.0
2017/3/7,1040.0
2017/3/8,1040.0
2017/3/9,1030.0
2017/3/10,1030.0
2017/3/13,1030.0
2017/3/14,1030.0
2017/3/15,1030.0
2017/3/16,1030.0
2017/3/17,1040.0
2017/3/20,1020.0
2017/3/21,1020.0
2017/3/22,1020.0
2017/3/23,1020.0
2017/3/24,1020.0
2017/3/27,1020.0
2017/3/28,1020.0
2017/3/29,1020.0
2017/3/30,1020.0
2017/3/31,1020.0
2017/4/5,1010.0
2017/4/6,1000.0
2017/4/7,1000.0
2017/4/10,1015.0
2017/4/11,1015.0
2017/4/12,1010.0
2017/4/13,1000.0
2017/4/14,1000.0
2017/4/17,1000.0
2017/4/18,995.0
2017/4/19,995.0
2017/4/20,985.0
2017/4/21,985.0
2017/4/24,985.0
2017/4/25,985.0
2017/4/26,985.0
2017/4/27,975.0
2017/4/28,975.0
2017/5/2,975.0
2017/5/3,975.0
2017/5/4,965.0
2017/5/5,955.0
2017/5/8,960.0
2017/5/9,960.0
2017/5/10,960.0
2017/5/11,955.0
2017/5/12,955.0
2017/5/15,960.0
2017/5/16,960.0
2017/5/17,960.0
2017/5/18,960.0
2017/5/19,980.0
2017/5/22,990.0
2017/5/23,990.0
2017/5/24,990.0
2017/5/25,990.0
2017/5/26,980.0
2017/5/31,970.0
2017/6/1,975.0
2017/6/2,970.0
2017/6/5,965.0
2017/6/6,970.0
2017/6/7,970.0
2017/6/8,970.0
2017/6/9,970.0
2017/6/12,975.0
2017/6/13,970.0
2017/6/14,970.0
2017/6/15,960.0
2017/6/16,960.0
2017/6/19,965.0
2017/6/20,965.0
2017/6/21,965.0
2017/6/22,960.0
2017/6/23,960.0
2017/6/26,960.0
2017/6/27,965.0
2017/6/28,965.0
2017/6/29,970.0
2017/6/30,970.0
2017/7/3,975.0
2017/7/4,969.0
2017/7/5,970.0
2017/7/6,970.0
2017/7/7,980.0
2017/7/10,980.0
2017/7/11,980.0
2017/7/12,975.0
2017/7/13,975.0
2017/7/14,990.0
2017/7/17,995.0
2017/7/18,1000.0
2017/7/19,1000.0
2017/7/20,1010.0
2017/7/21,1010.0
2017/7/24,1010.0
2017/7/25,1020.0
2017/7/26,1020.0
2017/7/27,1010.0
2017/7/28,1005.0
2017/7/31,1010.0
2017/8/1,1030.0
2017/8/2,1030.0
2017/8/3,1020.0
2017/8/4,1030.0
2017/8/7,1030.0
2017/8/8,1025.0
2017/8/9,1025.0
2017/8/10,1030.0
2017/8/11,1030.0
2017/8/14,1020.0
2017/8/15,1020.0
2017/8/16,1025.0
2017/8/17,1040.0
2017/8/18,1040.0
2017/8/21,1055.0
2017/8/22,1070.0
2017/8/23,1080.0
2017/8/24,1100.0
2017/8/25,1100.0
2017/8/28,1100.0
2017/8/29,1110.0
2017/8/30,1110.0
2017/8/31,1110.0
2017/9/1,1110.0
2017/9/4,1140.0
2017/9/5,1140.0
2017/9/6,1140.0
2017/9/7,1130.0
2017/9/8,1130.0
2017/9/11,1125.0
2017/9/12,1135.0
2017/9/13,1135.0
2017/9/14,1130.0
2017/9/15,1130.0
2017/9/18,1120.0
2017/9/19,1120.0
2017/9/20,1115.0
2017/9/21,1105.0
2017/9/22,1105.0
2017/9/25,1105.0
2017/9/26,1105.0
2017/9/27,1110.0
2017/9/28,1095.0
2017/9/29,1100.0
2017/10/9,1100.0
2017/10/10,1100.0
2017/10/11,1100.0
2017/10/12,1100.0
2017/10/13,1105.0
2017/10/16,1105.0
2017/10/17,1110.0
2017/10/18,1110.0
2017/10/19,1120.0
2017/10/20,1130.0
2017/10/23,1120.0
2017/10/24,1120.0
2017/10/25,1130.0
2017/10/26,1130.0
2017/10/27,1125.0
2017/10/30,1115.0
2017/10/31,1115.0
2017/11/1,1120.0
2017/11/2,1130.0
2017/11/3,1130.0
2017/11/6,1120.0
2017/11/7,1120.0
2017/11/8,1120.0
2017/11/9,1120.0
2017/11/10,1120.0
2017/11/13,1120.0
2017/11/14,1120.0
2017/11/15,1120.0
2017/11/16,1115.0
2017/11/17,1115.0
2017/11/20,1140.0
2017/11/21,1130.0
2017/11/22,1130.0
2017/11/23,1130.0
