dt,zc cfr
2019/5/20,38.78
2019/5/21,38.78
2019/5/22,38.78
2019/5/23,38.78
2019/5/24,38.0
2019/5/27,38.0
2019/5/28,38.0
2019/5/29,38.0
2019/5/30,38.0
2019/5/31,37.36
2019/6/3,37.36
2019/6/4,37.36
2019/6/5,37.36
2019/6/6,37.36
2019/6/7,36.66
2019/6/10,36.66
2019/6/11,36.66
2019/6/12,36.66
2019/6/13,36.66
2019/6/14,35.84
2019/6/17,35.84
2019/6/18,35.84
2019/6/19,35.84
2019/6/20,35.84
2019/6/21,36.06
2019/6/24,36.06
2019/6/25,36.06
2019/6/26,36.06
2019/6/27,36.06
2019/6/28,35.81
2019/7/1,35.81
2019/7/2,35.81
2019/7/3,35.81
2019/7/4,35.81
2019/7/5,35.99
2019/7/8,35.99
2019/7/9,35.99
2019/7/10,35.99
2019/7/11,35.99
2019/7/12,35.89
2019/7/15,35.89
2019/7/16,35.89
2019/7/17,35.89
2019/7/18,35.89
2019/7/19,34.71
2019/7/22,34.71
2019/7/23,34.71
2019/7/24,34.71
2019/7/25,34.71
2019/7/26,33.7
2019/7/29,33.7
2019/7/30,33.7
2019/7/31,33.7
2019/8/1,33.7
2019/8/2,33.32
2019/8/5,33.32
2019/8/6,33.32
2019/8/7,33.32
2019/8/8,33.32
2019/8/9,32.34
2019/8/12,32.34
2019/8/13,32.34
2019/8/14,61.45
2019/8/15,61.45
2019/8/16,60.32
2019/8/19,60.32
2019/8/20,60.32
2019/8/21,60.32
2019/8/22,60.32
2019/8/23,59.59
2019/8/26,59.59
2019/8/27,59.59
2019/8/28,59.59
2019/8/29,59.59
2019/8/30,58.45
2019/9/2,58.45
2019/9/3,58.45
2019/9/4,58.45
2019/9/5,58.45
2019/9/6,58.35
2019/9/9,58.35
2019/9/10,58.35
2019/9/11,58.35
2019/9/12,58.55
2019/9/16,58.75
2019/9/17,58.75
2019/9/18,58.75
2019/9/19,58.75
2019/9/20,58.79
2019/9/23,58.79
2019/9/24,58.79
2019/9/25,58.79
2019/9/26,58.79
2019/9/27,58.77
2019/9/30,58.77
2019/10/8,58.77
2019/10/9,58.77
2019/10/10,58.77
