dt,YDF rmb
2015/12/18,280.0
2015/12/21,290.0
2015/12/22,290.0
2015/12/23,290.0
2015/12/24,290.0
2015/12/25,290.0
2015/12/28,295.0
2015/12/29,295.0
2015/12/30,303.0
2015/12/31,303.0
2016/1/4,310.0
2016/1/5,310.0
2016/1/6,305.0
2016/1/7,305.0
2016/1/8,305.0
2016/1/11,300.0
2016/1/12,300.0
2016/1/13,300.0
2016/1/14,295.0
2016/1/15,290.0
2016/1/18,290.0
2016/1/19,295.0
2016/1/20,295.0
2016/1/21,295.0
2016/1/22,290.0
2016/1/25,290.0
2016/1/26,290.0
2016/1/27,290.0
2016/1/28,290.0
2016/1/29,290.0
2016/2/1,290.0
2016/2/2,290.0
2016/2/3,290.0
2016/2/4,300.0
2016/2/5,300.0
2016/2/15,310.0
2016/2/16,310.0
2016/2/17,310.0
2016/2/18,310.0
2016/2/19,315.0
2016/2/22,335.0
2016/2/23,335.0
2016/2/24,335.0
2016/2/25,330.0
2016/2/26,320.0
2016/2/29,320.0
2016/3/1,325.0
2016/3/2,330.0
2016/3/3,335.0
2016/3/4,335.0
2016/3/7,435.0
2016/3/8,440.0
2016/3/9,420.0
2016/3/10,400.0
2016/3/11,390.0
2016/3/14,385.0
2016/3/15,375.0
2016/3/16,370.0
2016/3/17,390.0
2016/3/18,395.0
2016/3/21,395.0
2016/3/22,390.0
2016/3/23,390.0
2016/3/24,380.0
2016/3/25,375.0
2016/3/28,375.0
2016/3/29,370.0
2016/3/30,370.0
2016/3/31,370.0
2016/4/1,375.0
2016/4/5,380.0
2016/4/6,375.0
2016/4/7,375.0
2016/4/8,375.0
2016/4/11,385.0
2016/4/12,395.0
2016/4/13,405.0
2016/4/14,405.0
2016/4/15,400.0
2016/4/18,415.0
2016/4/19,425.0
2016/4/20,440.0
2016/4/21,460.0
2016/4/22,460.0
2016/4/25,455.0
2016/4/26,445.0
2016/4/27,430.0
2016/4/28,440.0
2016/4/29,450.0
2016/5/3,445.0
2016/5/4,425.0
2016/5/5,420.0
2016/5/6,415.0
2016/5/9,390.0
2016/5/10,370.0
2016/5/11,370.0
2016/5/12,370.0
2016/5/13,365.0
2016/5/16,365.0
2016/5/17,375.0
2016/5/18,375.0
2016/5/19,375.0
2016/5/20,375.0
2016/5/23,355.0
2016/5/24,340.0
2016/5/25,340.0
2016/5/26,335.0
2016/5/27,335.0
2016/5/30,330.0
2016/5/31,330.0
2016/6/1,330.0
2016/6/2,330.0
2016/6/3,330.0
2016/6/6,340.0
2016/6/7,350.0
2016/6/8,350.0
2016/6/13,350.0
2016/6/14,345.0
2016/6/15,340.0
2016/6/16,345.0
2016/6/17,345.0
2016/6/20,345.0
2016/6/21,345.0
2016/6/22,345.0
2016/6/23,345.0
2016/6/24,345.0
2016/6/27,355.0
2016/6/28,355.0
2016/6/29,355.0
2016/6/30,363.0
2016/7/1,363.0
2016/7/4,365.0
2016/7/5,365.0
2016/7/6,365.0
2016/7/7,365.0
2016/7/8,365.0
2016/7/11,365.0
2016/7/12,370.0
2016/7/13,375.0
2016/7/14,375.0
2016/7/15,370.0
2016/7/18,365.0
2016/7/19,360.0
2016/7/20,355.0
2016/7/21,365.0
2016/7/22,360.0
2016/7/25,365.0
2016/7/26,370.0
2016/7/27,380.0
2016/7/28,380.0
2016/7/29,380.0
2016/8/1,385.0
2016/8/2,390.0
2016/8/3,390.0
2016/8/4,380.0
2016/8/5,385.0
2016/8/8,390.0
2016/8/9,390.0
2016/8/10,390.0
2016/8/11,375.0
2016/8/12,365.0
2016/8/15,360.0
2016/8/16,365.0
2016/8/17,365.0
2016/8/18,365.0
2016/8/19,370.0
2016/8/22,370.0
2016/8/23,375.0
2016/8/24,375.0
2016/8/25,370.0
2016/8/26,370.0
2016/8/29,370.0
2016/8/30,365.0
2016/8/31,365.0
2016/9/1,365.0
2016/9/2,375.0
2016/9/5,375.0
2016/9/6,375.0
2016/9/7,370.0
2016/9/8,370.0
2016/9/9,370.0
2016/9/12,370.0
2016/9/13,370.0
2016/9/14,370.0
2016/9/19,375.0
2016/9/20,380.0
2016/9/21,380.0
2016/9/22,385.0
2016/9/23,385.0
2016/9/26,390.0
2016/9/27,390.0
2016/9/28,390.0
2016/9/29,395.0
2016/9/30,390.0
2016/10/10,390.0
2016/10/11,390.0
2016/10/12,395.0
2016/10/13,395.0
2016/10/14,395.0
2016/10/17,405.0
2016/10/18,405.0
2016/10/19,405.0
2016/10/20,405.0
2016/10/21,405.0
2016/10/24,410.0
2016/10/25,415.0
2016/10/26,415.0
2016/10/27,415.0
2016/10/28,415.0
2016/10/31,415.0
2016/11/1,420.0
2016/11/2,420.0
2016/11/3,420.0
2016/11/4,420.0
2016/11/7,430.0
2016/11/8,445.0
2016/11/9,465.0
2016/11/10,485.0
2016/11/11,505.0
2016/11/14,515.0
2016/11/15,515.0
2016/11/16,515.0
2016/11/17,505.0
2016/11/18,500.0
