dt,NHGF rmb
2015/2/6,475.0
2015/2/9,475.0
2015/2/10,470.0
2015/2/11,470.0
2015/2/12,470.0
2015/2/13,470.0
2015/2/16,470.0
2015/2/17,470.0
2015/2/25,470.0
2015/2/26,470.0
2015/2/27,470.0
2015/3/2,470.0
2015/3/3,470.0
2015/3/4,470.0
2015/3/5,465.0
2015/3/6,460.0
2015/3/9,455.0
2015/3/10,450.0
2015/3/11,445.0
2015/3/12,445.0
2015/3/13,445.0
2015/3/16,445.0
2015/3/17,440.0
2015/3/18,440.0
2015/3/19,435.0
2015/3/20,430.0
2015/3/23,425.0
2015/3/24,420.0
2015/3/25,420.0
2015/3/26,420.0
2015/3/27,420.0
2015/3/30,420.0
2015/3/31,405.0
2015/4/1,400.0
2015/4/2,390.0
2015/4/3,380.0
2015/4/7,375.0
2015/4/8,375.0
2015/4/9,375.0
2015/4/10,375.0
2015/4/13,375.0
2015/4/14,375.0
2015/4/15,380.0
2015/4/16,385.0
2015/4/17,385.0
2015/4/20,385.0
2015/4/21,385.0
2015/4/22,385.0
2015/4/23,395.0
2015/4/24,400.0
2015/4/27,410.0
2015/4/28,430.0
2015/4/29,435.0
2015/4/30,425.0
2015/5/4,420.0
2015/5/5,425.0
2015/5/6,430.0
2015/5/7,435.0
2015/5/8,435.0
2015/5/11,435.0
2015/5/12,440.0
2015/5/13,445.0
2015/5/14,445.0
2015/5/15,435.0
2015/5/18,435.0
2015/5/19,435.0
2015/5/20,435.0
2015/5/21,435.0
2015/5/22,435.0
2015/5/25,435.0
2015/5/26,435.0
2015/5/27,445.0
2015/5/28,445.0
2015/5/29,440.0
2015/6/1,440.0
2015/6/2,450.0
2015/6/3,460.0
2015/6/4,460.0
2015/6/5,460.0
2015/6/8,460.0
2015/6/9,460.0
2015/6/10,460.0
2015/6/11,470.0
2015/6/12,475.0
2015/6/15,475.0
2015/6/16,475.0
2015/6/17,475.0
2015/6/18,470.0
2015/6/19,465.0
2015/6/23,460.0
2015/6/24,460.0
2015/6/25,465.0
2015/6/26,465.0
2015/6/29,465.0
2015/6/30,460.0
2015/7/1,455.0
2015/7/2,450.0
2015/7/3,445.0
2015/7/6,440.0
2015/7/7,430.0
2015/7/8,410.0
2015/7/9,385.0
2015/7/10,395.0
2015/7/13,395.0
2015/7/14,395.0
2015/7/15,395.0
2015/7/16,395.0
2015/7/17,395.0
2015/7/20,390.0
2015/7/21,405.0
2015/7/22,410.0
2015/7/23,400.0
2015/7/24,405.0
2015/7/27,405.0
2015/7/28,410.0
2015/7/29,415.0
2015/7/30,415.0
2015/7/31,420.0
2015/8/3,420.0
2015/8/4,430.0
2015/8/5,430.0
2015/8/6,430.0
2015/8/7,430.0
2015/8/10,430.0
2015/8/11,425.0
2015/8/12,425.0
2015/8/13,425.0
2015/8/14,430.0
