dt,bu cfr
2014/10/16,565.0
2014/10/17,565.0
2014/10/20,565.0
2014/10/21,565.0
2014/10/22,565.0
2014/10/23,565.0
2014/10/24,565.0
2014/10/27,565.0
2014/10/28,565.0
2014/10/29,565.0
2014/10/30,565.0
2014/10/31,565.0
2014/11/3,565.0
2014/11/4,565.0
2014/11/5,565.0
2014/11/6,565.0
2014/11/7,565.0
2014/11/10,565.0
2014/11/11,565.0
2014/11/12,565.0
2014/11/13,527.5
2014/11/14,527.5
2014/11/17,527.5
2014/11/18,527.5
2014/11/19,527.5
2014/11/20,527.5
2014/11/21,527.5
2014/11/24,527.5
2014/11/25,527.5
2014/11/26,527.5
2014/11/27,527.5
2014/11/28,527.5
2014/12/1,527.5
2014/12/2,527.5
2014/12/3,527.5
2014/12/4,527.5
2014/12/5,527.5
2014/12/8,527.5
2014/12/9,527.5
2014/12/10,527.5
2014/12/11,527.5
2014/12/12,527.5
2014/12/15,527.5
2014/12/16,527.5
2014/12/17,527.5
2014/12/18,495.0
2014/12/19,495.0
2014/12/22,495.0
2014/12/23,495.0
2014/12/24,495.0
2014/12/25,475.0
2014/12/26,475.0
2014/12/29,475.0
2014/12/30,475.0
2014/12/31,475.0
2015/1/5,395.0
2015/1/6,395.0
2015/1/7,395.0
2015/1/8,395.0
2015/1/9,395.0
2015/1/12,395.0
2015/1/13,395.0
2015/1/14,385.0
2015/1/15,385.0
2015/1/16,385.0
2015/1/19,365.0
2015/1/20,365.0
2015/1/21,365.0
2015/1/22,365.0
2015/1/23,365.0
2015/1/26,365.0
2015/1/27,365.0
2015/1/28,365.0
2015/1/29,365.0
2015/1/30,365.0
2015/2/2,345.0
2015/2/3,345.0
2015/2/4,345.0
2015/2/5,340.0
2015/2/6,340.0
2015/2/9,340.0
2015/2/10,340.0
2015/2/11,340.0
2015/2/12,340.0
2015/2/13,340.0
2015/2/16,340.0
2015/2/17,340.0
2015/2/25,340.0
2015/2/26,340.0
2015/2/27,340.0
2015/3/2,340.0
2015/3/3,362.5
2015/3/4,362.5
2015/3/5,362.5
2015/3/6,362.5
2015/3/9,362.5
2015/3/10,365.0
2015/3/11,365.0
2015/3/12,365.0
2015/3/13,365.0
2015/3/16,365.0
2015/3/17,365.0
2015/3/18,365.0
2015/3/19,365.0
2015/3/20,365.0
2015/3/23,375.0
2015/3/24,375.0
2015/3/25,375.0
2015/3/26,375.0
2015/3/27,375.0
2015/3/30,397.5
2015/3/31,397.5
2015/4/1,397.5
2015/4/2,397.5
2015/4/3,397.5
2015/4/6,397.5
2015/4/7,402.5
2015/4/8,402.5
2015/4/9,405.0
2015/4/10,405.0
2015/4/13,405.0
2015/4/14,405.0
2015/4/15,402.5
2015/4/16,402.5
2015/4/17,402.5
2015/4/20,402.5
2015/4/21,402.5
2015/4/22,405.0
2015/4/23,405.0
2015/4/24,405.0
2015/4/27,405.0
2015/4/28,405.0
2015/4/29,405.0
2015/4/30,405.0
2015/5/1,405.0
2015/5/4,405.0
2015/5/5,405.0
2015/5/6,405.0
2015/5/7,405.0
2015/5/8,405.0
2015/5/11,405.0
2015/5/12,405.0
2015/5/13,405.0
2015/5/14,405.0
2015/5/15,405.0
2015/5/18,405.0
2015/5/19,405.0
2015/5/20,405.0
2015/5/21,405.0
2015/5/22,405.0
2015/5/25,405.0
2015/5/26,405.0
2015/5/27,405.0
2015/5/28,405.0
2015/5/29,405.0
2015/6/1,402.5
2015/6/2,402.5
2015/6/3,402.5
2015/6/4,402.5
2015/6/5,402.5
2015/6/8,402.5
2015/6/9,402.5
2015/6/10,402.5
2015/6/11,402.5
2015/6/12,402.5
2015/6/15,402.5
2015/6/16,402.5
2015/6/17,400.0
2015/6/18,400.0
2015/6/19,400.0
2015/6/22,400.0
2015/6/23,400.0
2015/6/24,400.0
2015/6/25,400.0
2015/6/26,400.0
2015/6/29,400.0
2015/6/30,400.0
2015/7/1,400.0
2015/7/2,400.0
2015/7/3,400.0
2015/7/6,400.0
2015/7/7,400.0
2015/7/8,400.0
2015/7/9,400.0
2015/7/10,400.0
2015/7/13,400.0
2015/7/14,400.0
2015/7/15,390.0
2015/7/16,390.0
2015/7/17,390.0
2015/7/20,390.0
2015/7/21,390.0
2015/7/22,390.0
2015/7/23,390.0
2015/7/24,390.0
2015/7/27,390.0
2015/7/28,390.0
2015/7/29,390.0
2015/7/30,390.0
2015/7/31,390.0
2015/8/3,387.5
2015/8/4,387.5
2015/8/5,387.5
2015/8/6,387.5
2015/8/7,387.5
2015/8/10,387.5
2015/8/11,387.5
2015/8/12,387.5
2015/8/13,387.5
2015/8/14,387.5
2015/8/17,387.5
2015/8/18,387.5
2015/8/19,382.5
2015/8/20,382.5
2015/8/21,382.5
2015/8/24,382.5
2015/8/25,382.5
2015/8/26,382.5
2015/8/27,382.5
2015/8/28,382.5
2015/8/31,382.5
2015/9/1,382.5
2015/9/2,370.0
2015/9/3,370.0
2015/9/4,370.0
2015/9/7,370.0
2015/9/8,370.0
2015/9/9,370.0
2015/9/10,370.0
2015/9/11,370.0
2015/9/14,370.0
2015/9/15,370.0
2015/9/16,370.0
2015/9/17,370.0
2015/9/18,370.0
2015/9/21,370.0
2015/9/22,370.0
2015/9/23,370.0
2015/9/24,370.0
2015/9/25,370.0
2015/9/28,370.0
2015/9/29,370.0
2015/9/30,370.0
2015/10/1,370.0
2015/10/2,370.0
2015/10/5,365.0
2015/10/6,365.0
2015/10/7,365.0
2015/10/8,365.0
2015/10/9,365.0
2015/10/12,365.0
2015/10/13,365.0
2015/10/14,365.0
2015/10/15,365.0
2015/10/16,365.0
2015/10/19,365.0
2015/10/20,365.0
2015/10/21,365.0
2015/10/22,355.0
2015/10/23,355.0
2015/10/26,355.0
2015/10/27,355.0
2015/10/28,355.0
2015/10/29,355.0
2015/10/30,350.0
2015/11/2,350.0
2015/11/3,350.0
2015/11/4,350.0
2015/11/5,342.5
2015/11/6,342.5
2015/11/9,342.5
2015/11/10,342.5
2015/11/11,342.5
2015/11/12,342.5
2015/11/13,342.5
2015/11/16,342.5
2015/11/17,342.5
2015/11/18,342.5
2015/11/19,342.5
2015/11/20,342.5
2015/11/23,342.5
2015/11/24,330.0
2015/11/25,330.0
2015/11/26,330.0
2015/11/27,330.0
2015/11/30,330.0
2015/12/1,300.0
2015/12/2,300.0
2015/12/3,300.0
2015/12/4,300.0
2015/12/7,300.0
2015/12/8,300.0
2015/12/9,300.0
2015/12/10,290.0
2015/12/11,290.0
2015/12/14,290.0
2015/12/15,280.0
2015/12/16,280.0
2015/12/17,280.0
2015/12/18,280.0
2015/12/21,280.0
2015/12/22,257.5
2015/12/23,257.5
2015/12/24,250.0
2015/12/25,250.0
2015/12/28,250.0
2015/12/29,250.0
2015/12/30,250.0
2015/12/31,250.0
2016/1/1,250.0
2016/1/4,220.0
2016/1/5,220.0
2016/1/6,220.0
2016/1/7,220.0
2016/1/8,215.0
2016/1/11,215.0
2016/1/12,215.0
2016/1/13,215.0
2016/1/14,215.0
2016/1/15,215.0
2016/1/18,215.0
2016/1/19,215.0
2016/1/20,215.0
2016/1/21,210.0
2016/1/22,210.0
2016/1/25,210.0
2016/1/26,210.0
2016/1/27,210.0
2016/1/28,210.0
2016/1/29,210.0
2016/2/1,202.5
2016/2/2,202.5
2016/2/3,202.5
2016/2/4,202.5
2016/2/5,202.5
2016/2/8,202.5
2016/2/9,202.5
2016/2/10,202.5
2016/2/11,202.5
2016/2/12,202.5
2016/2/15,202.5
2016/2/16,202.5
2016/2/17,202.5
2016/2/18,202.5
2016/2/19,202.5
2016/2/22,202.5
2016/2/23,202.5
2016/2/24,202.5
2016/2/25,202.5
2016/2/26,202.5
2016/2/29,202.5
2016/3/1,202.5
2016/3/2,202.5
2016/3/3,197.5
2016/3/4,197.5
2016/3/7,197.5
2016/3/8,197.5
2016/3/9,197.5
2016/3/10,197.5
2016/3/11,197.5
2016/3/14,197.5
2016/3/15,197.5
2016/3/16,197.5
2016/3/17,197.5
2016/3/18,197.5
2016/3/21,197.5
2016/3/22,197.5
2016/3/23,197.5
2016/3/24,197.5
2016/3/25,197.5
2016/3/28,197.5
2016/3/29,197.5
2016/3/30,197.5
2016/3/31,197.5
2016/4/1,202.5
2016/4/4,202.5
2016/4/5,202.5
2016/4/6,202.5
2016/4/7,202.5
2016/4/8,202.5
2016/4/11,202.5
2016/4/12,202.5
2016/4/13,202.5
2016/4/14,202.5
2016/4/15,202.5
2016/4/18,202.5
2016/4/19,202.5
2016/4/20,202.5
2016/4/21,202.5
2016/4/22,202.5
2016/4/25,202.5
2016/4/26,202.5
2016/4/27,202.5
2016/4/28,202.5
2016/4/29,202.5
2016/5/2,202.5
2016/5/3,205.0
2016/5/4,205.0
2016/5/5,205.0
2016/5/6,205.0
2016/5/9,205.0
2016/5/10,205.0
2016/5/11,205.0
2016/5/12,205.0
2016/5/13,205.0
2016/5/16,205.0
2016/5/17,205.0
2016/5/18,205.0
2016/5/19,205.0
2016/5/20,205.0
2016/5/23,205.0
2016/5/24,205.0
2016/5/25,205.0
2016/5/26,205.0
2016/5/27,205.0
2016/5/30,205.0
2016/5/31,205.0
2016/6/1,217.5
2016/6/2,217.5
2016/6/3,217.5
2016/6/6,217.5
2016/6/7,217.5
2016/6/8,217.5
2016/6/9,217.5
2016/6/10,217.5
2016/6/13,217.5
2016/6/14,217.5
2016/6/15,217.5
2016/6/16,217.5
2016/6/17,217.5
2016/6/20,217.5
2016/6/21,217.5
2016/6/22,217.5
2016/6/23,217.5
2016/6/24,217.5
2016/6/27,217.5
2016/6/28,217.5
2016/6/29,217.5
2016/6/30,217.5
2016/7/1,217.5
2016/7/4,217.5
2016/7/5,217.5
2016/7/6,217.5
2016/7/7,217.5
2016/7/8,217.5
2016/7/11,217.5
2016/7/12,217.5
2016/7/13,217.5
2016/7/14,217.5
2016/7/15,217.5
2016/7/18,217.5
2016/7/19,217.5
2016/7/20,217.5
2016/7/21,217.5
2016/7/22,217.5
2016/7/25,217.5
2016/7/26,217.5
2016/7/27,217.5
