dt,meg cfr
2014/6/12,979.0
2014/6/13,997.0
2014/6/16,1011.0
2014/6/17,1000.0
2014/6/18,988.0
2014/6/19,986.0
2014/6/20,990.0
2014/6/23,999.0
2014/6/24,1000.0
2014/6/25,1002.0
2014/6/26,1017.0
2014/6/27,1018.0
2014/6/30,1008.0
2014/7/1,1003.0
2014/7/2,987.0
2014/7/3,998.0
2014/7/4,1000.0
2014/7/7,985.0
2014/7/8,990.0
2014/7/9,986.0
2014/7/10,986.0
2014/7/11,986.0
2014/7/14,976.0
2014/7/15,980.0
2014/7/16,990.0
2014/7/17,995.0
2014/7/18,997.0
2014/7/21,990.0
2014/7/22,996.0
2014/7/23,992.0
2014/7/24,988.0
2014/7/25,991.0
2014/7/28,990.0
2014/7/29,988.0
2014/7/30,988.0
2014/7/31,977.0
2014/8/1,980.0
2014/8/4,976.0
2014/8/5,976.0
2014/8/6,979.0
2014/8/7,994.0
2014/8/8,1003.0
2014/8/11,1005.0
2014/8/12,1002.0
2014/8/13,1007.0
2014/8/14,1005.0
2014/8/15,1004.0
2014/8/18,999.0
2014/8/19,996.0
2014/8/20,993.0
2014/8/21,989.0
2014/8/22,987.0
2014/8/25,982.0
2014/8/26,979.0
2014/8/27,978.0
2014/8/28,969.0
2014/8/29,978.0
2014/9/1,975.0
2014/9/2,973.0
2014/9/3,970.0
2014/9/4,971.0
2014/9/5,968.0
2014/9/8,968.0
2014/9/9,962.0
2014/9/10,940.0
2014/9/11,931.0
2014/9/12,936.0
2014/9/15,938.0
2014/9/16,935.0
2014/9/17,935.0
2014/9/18,926.0
2014/9/19,911.0
2014/9/22,885.0
2014/9/23,888.0
2014/9/24,883.0
2014/9/25,900.0
2014/9/26,902.5
2014/9/29,898.0
2014/9/30,893.0
2014/10/1,893.0
2014/10/2,893.0
2014/10/3,893.0
2014/10/6,893.0
2014/10/7,893.0
2014/10/8,841.0
2014/10/9,839.0
2014/10/10,812.0
2014/10/13,772.0
2014/10/14,789.0
2014/10/15,807.0
2014/10/16,805.0
2014/10/17,805.0
2014/10/20,815.0
2014/10/21,845.0
2014/10/22,838.0
2014/10/23,845.0
2014/10/24,849.0
2014/10/27,846.0
2014/10/28,839.0
2014/10/29,828.0
2014/10/30,830.0
2014/10/31,822.0
2014/11/3,820.0
2014/11/4,793.0
2014/11/5,784.0
2014/11/6,792.0
2014/11/7,823.0
2014/11/10,859.0
2014/11/11,849.0
2014/11/12,852.0
2014/11/13,860.0
2014/11/14,856.0
2014/11/17,858.0
2014/11/18,857.0
2014/11/19,866.0
2014/11/20,885.0
2014/11/21,898.0
2014/11/24,897.0
2014/11/25,885.0
2014/11/26,884.0
2014/11/27,872.0
2014/11/28,833.0
2014/12/1,810.0
2014/12/2,815.0
2014/12/3,845.0
2014/12/4,851.0
2014/12/5,839.0
2014/12/8,817.0
2014/12/9,808.0
2014/12/10,819.0
2014/12/11,781.0
2014/12/12,763.0
2014/12/15,753.0
2014/12/16,760.0
