date,PP_feibiao
2017/9/13,550
2017/9/14,550
2017/9/15,630
2017/9/18,650
2017/9/19,550
2017/9/20,520
2017/9/21,500
2017/9/22,550
2017/9/25,450
2017/9/26,400
2017/9/27,460
2017/9/28,500
2017/9/29,450
2017/10/9,500
2017/10/10,500
2017/10/11,490
2017/10/12,500
2017/10/13,500
2017/10/16,500
2017/10/17,450
2017/10/18,450
2017/10/19,500
2017/10/20,340
2017/10/23,420
2017/10/24,500
2017/10/25,470
2017/10/26,550
2017/10/27,560
2017/10/30,550
2017/10/31,550
2017/11/1,620
2017/11/2,620
2017/11/3,550
2017/11/6,450
2017/11/7,550
2017/11/8,500
2017/11/9,500
2017/11/10,530
2017/11/13,520
2017/11/14,520
2017/11/15,450
2017/11/16,550
2017/11/17,470
2017/11/20,450
2017/11/21,350
2017/11/22,400
2017/11/23,430
2017/11/24,420
2017/11/27,300
2017/11/28,470
2017/11/29,430
2017/11/30,440
2017/12/1,300
2017/12/4,370
2017/12/5,320
2017/12/6,320
2017/12/7,350
2017/12/8,470
2017/12/11,340
2017/12/12,320
2017/12/13,370
2017/12/14,330
2017/12/15,360
2017/12/18,360
2017/12/19,300
2017/12/20,290
2017/12/21,330
2017/12/22,350
2017/12/25,330
2017/12/26,330
2017/12/27,300
2017/12/28,330
2017/12/29,200
2018/1/2,300
2018/1/3,250
2018/1/4,150
2018/1/5,150
2018/1/8,250
2018/1/9,300
2018/1/10,250
2018/1/11,200
2018/1/12,200
2018/1/15,130
2018/1/16,200
2018/1/17,100
2018/1/18,300
2018/1/19,300
2018/1/22,200
2018/1/23,300
2018/1/24,300
2018/1/25,200
2018/1/26,200
2018/1/29,150
2018/1/30,150
2018/1/31,150
2018/2/1,200
2018/2/2,270
2018/2/5,270
2018/2/6,300
2018/2/7,300
2018/2/8,270
2018/2/9,280
2018/2/12,400
2018/2/13,400
2018/2/14,400
2018/2/22,275
2018/2/23,275
2018/2/26,260
2018/2/27,230
2018/2/28,200
2018/3/1,200
2018/3/2,180
2018/3/5,200
2018/3/6,250
2018/3/7,200
2018/3/8,300
2018/3/9,300
2018/3/12,310
2018/3/13,290
2018/3/14,290
2018/3/15,300
2018/3/16,390
2018/3/19,410
2018/3/20,375
2018/3/21,435
2018/3/22,400
2018/3/23,500
2018/3/26,520
2018/3/27,520
2018/3/28,600
2018/3/29,400
2018/3/30,550
2018/4/2,550
2018/4/3,600
2018/4/4,650
2018/4/9,600
2018/4/10,580
2018/4/11,650
2018/4/12,680
2018/4/13,630
2018/4/16,650
2018/4/17,600
2018/4/18,630
2018/4/19,670
2018/4/20,600
2018/4/23,800
2018/4/24,900
2018/4/25,900
2018/4/26,950
2018/4/27,920
2018/5/2,900
2018/5/3,850
2018/5/4,930
2018/5/7,950
2018/5/8,980
2018/5/9,1100
2018/5/10,950
2018/5/11,980
2018/5/14,1030
2018/5/15,950
2018/5/16,920
2018/5/17,920
2018/5/18,850
2018/5/21,830
2018/5/22,920
2018/5/23,900
2018/5/24,860
2018/5/25,950
2018/5/28,1000
2018/5/29,920
2018/5/30,950
2018/5/31,950
2018/6/1,880
2018/6/4,930
2018/6/5,990
2018/6/6,1080
2018/6/7,1100
2018/6/8,1080
2018/6/11,1050
2018/6/12,1100
2018/6/13,1180
2018/6/14,1230
2018/6/15,1220
2018/6/19,1270
2018/6/20,1170
2018/6/21,1160
2018/6/22,1200
2018/6/25,1180
2018/6/26,1200
2018/6/27,1190
2018/6/28,1180
2018/6/29,1100
2018/7/2,1100
2018/7/3,1120
2018/7/4,1120
2018/7/5,1250
2018/7/6,1250
2018/7/9,1230
2018/7/10,1250
2018/7/11,1230
2018/7/12,1120
2018/7/13,1070
2018/7/16,1130
2018/7/17,1145
2018/7/18,1130
2018/7/19,1180
