date_time,open,high,low,close,volume,amount,position,date,time
2020-02-04 14:33:00,4472.0,4472.0,4472.0,4472.0,1.0,44720.0,69.0,2020-02-04,14:33:00
2020-02-04 14:38:00,4495.0,4496.0,4495.0,4496.0,3.0,134860.0,68.0,2020-02-04,14:38:00
2020-02-04 14:39:00,4505.0,4505.0,4505.0,4505.0,1.0,45050.0,68.0,2020-02-04,14:39:00
2020-02-04 14:44:00,4499.0,4499.0,4499.0,4499.0,1.0,44990.0,68.0,2020-02-04,14:44:00
2020-02-04 14:57:00,4489.0,4489.0,4489.0,4489.0,1.0,44890.0,68.0,2020-02-04,14:57:00
2020-02-04 14:59:00,4490.0,4490.0,4489.0,4489.0,2.0,89790.0,69.0,2020-02-04,14:59:00
2020-02-04 15:00:00,4489.0,4489.0,4489.0,4489.0,0.0,0.0,69.0,2020-02-04,15:00:00
2020-02-05 09:01:00,4489.0,4489.0,4489.0,4489.0,1.0,44890.0,70.0,2020-02-05,09:01:00
2020-02-05 09:10:00,4519.0,4519.0,4519.0,4519.0,7.0,316070.0,76.0,2020-02-05,09:10:00
2020-02-05 09:11:00,4519.0,4519.0,4519.0,4519.0,1.0,45190.0,76.0,2020-02-05,09:11:00
2020-02-05 09:14:00,4529.0,4529.0,4529.0,4529.0,2.0,90580.0,77.0,2020-02-05,09:14:00
2020-02-05 09:15:00,4535.0,4535.0,4535.0,4535.0,1.0,45350.0,76.0,2020-02-05,09:15:00
2020-02-05 09:17:00,4554.0,4554.0,4554.0,4554.0,2.0,91080.0,77.0,2020-02-05,09:17:00
2020-02-05 09:18:00,4556.0,4556.0,4556.0,4556.0,1.0,45560.0,77.0,2020-02-05,09:18:00
2020-02-05 09:22:00,4531.0,4531.0,4531.0,4531.0,1.0,45310.0,76.0,2020-02-05,09:22:00
2020-02-05 09:26:00,4526.0,4526.0,4526.0,4526.0,1.0,45260.0,75.0,2020-02-05,09:26:00
2020-02-05 09:27:00,4534.0,4534.0,4534.0,4534.0,1.0,45340.0,75.0,2020-02-05,09:27:00
2020-02-05 09:31:00,4526.0,4526.0,4526.0,4526.0,1.0,45260.0,74.0,2020-02-05,09:31:00
