date,date,specific_contract,last_trade_date,VOLUME,OI,DEALNUM,HIGH,SETTLE,LOW,CLOSE,OPEN,contract_issue_date,switch_contract,remain_days
2011-07-19,2011-07-19,RU1201.SHF,2012-01-13,415938.0,121188.0,,35915.0,35410.0,35005.0,35855.0,35285.0,2011-01-18,False,178 days 00:00:00.000000000
2011-07-20,2011-07-20,RU1201.SHF,2012-01-13,402638.0,119562.0,,36385.0,36050.0,35660.0,35870.0,36230.0,2011-01-18,False,177 days 00:00:00.000000000
2011-07-21,2011-07-21,RU1201.SHF,2012-01-13,368062.0,118030.0,,36210.0,35970.0,35735.0,35965.0,36045.0,2011-01-18,False,176 days 00:00:00.000000000
2011-07-22,2011-07-22,RU1201.SHF,2012-01-13,354082.0,122744.0,,36115.0,35755.0,35455.0,36110.0,35800.0,2011-01-18,False,175 days 00:00:00.000000000
2011-07-25,2011-07-25,RU1201.SHF,2012-01-13,292082.0,119415.0,,36210.0,35910.0,35655.0,35690.0,36000.0,2011-01-18,False,172 days 00:00:00.000000000
2011-07-26,2011-07-26,RU1201.SHF,2012-01-13,313580.0,120515.0,,36360.0,36015.0,35595.0,36340.0,35685.0,2011-01-18,False,171 days 00:00:00.000000000
2011-07-27,2011-07-27,RU1201.SHF,2012-01-13,244282.0,111724.0,,36595.0,36360.0,36145.0,36280.0,36590.0,2011-01-18,False,170 days 00:00:00.000000000
2011-07-28,2011-07-28,RU1201.SHF,2012-01-13,306683.0,106630.0,,36085.0,35800.0,35480.0,35540.0,36050.0,2011-01-18,False,169 days 00:00:00.000000000
2011-07-29,2011-07-29,RU1201.SHF,2012-01-13,324644.0,104598.0,,35900.0,35665.0,35350.0,35450.0,35540.0,2011-01-18,False,168 days 00:00:00.000000000
2011-08-01,2011-08-01,RU1201.SHF,2012-01-13,226218.0,100256.0,,36240.0,36070.0,35880.0,36190.0,36000.0,2011-01-18,False,165 days 00:00:00.000000000
2011-08-02,2011-08-02,RU1201.SHF,2012-01-13,223766.0,100804.0,,35850.0,35670.0,35480.0,35725.0,35800.0,2011-01-18,False,164 days 00:00:00.000000000
2011-08-03,2011-08-03,RU1201.SHF,2012-01-13,226132.0,102184.0,,36045.0,35775.0,35565.0,35685.0,35600.0,2011-01-18,False,163 days 00:00:00.000000000
2011-08-04,2011-08-04,RU1201.SHF,2012-01-13,251722.0,107062.0,,35755.0,35605.0,35355.0,35680.0,35510.0,2011-01-18,False,162 days 00:00:00.000000000
2011-08-05,2011-08-05,RU1201.SHF,2012-01-13,339838.0,97561.0,,34940.0,34025.0,33605.0,33705.0,34800.0,2011-01-18,False,161 days 00:00:00.000000000
2011-08-08,2011-08-08,RU1201.SHF,2012-01-13,300526.0,104716.0,,33890.0,33550.0,33030.0,33690.0,33030.0,2011-01-18,False,158 days 00:00:00.000000000
2011-08-09,2011-08-09,RU1201.SHF,2012-01-13,327750.0,108559.0,,32870.0,32245.0,31535.0,32785.0,31535.0,2011-01-18,False,157 days 00:00:00.000000000
2011-08-10,2011-08-10,RU1201.SHF,2012-01-13,285709.0,99683.0,,33460.0,33065.0,32780.0,33030.0,33250.0,2011-01-18,False,156 days 00:00:00.000000000
2011-08-11,2011-08-11,RU1201.SHF,2012-01-13,409329.0,119246.0,,34190.0,33610.0,32655.0,34170.0,32700.0,2011-01-18,False,155 days 00:00:00.000000000
2011-08-12,2011-08-12,RU1201.SHF,2012-01-13,290243.0,113392.0,,34435.0,34215.0,34010.0,34295.0,34300.0,2011-01-18,False,154 days 00:00:00.000000000
2011-08-15,2011-08-15,RU1201.SHF,2012-01-13,232342.0,109424.0,,34675.0,34445.0,34225.0,34310.0,34590.0,2011-01-18,False,151 days 00:00:00.000000000
2011-08-16,2011-08-16,RU1201.SHF,2012-01-13,273927.0,106357.0,,34530.0,34130.0,33760.0,33785.0,34495.0,2011-01-18,False,150 days 00:00:00.000000000
2011-08-17,2011-08-17,RU1201.SHF,2012-01-13,287331.0,98235.0,,34300.0,34055.0,33760.0,34100.0,33785.0,2011-01-18,False,149 days 00:00:00.000000000
2011-08-18,2011-08-18,RU1201.SHF,2012-01-13,335331.0,107365.0,,34280.0,33885.0,33620.0,33745.0,34165.0,2011-01-18,False,148 days 00:00:00.000000000
2011-08-19,2011-08-19,RU1201.SHF,2012-01-13,309762.0,104743.0,,33550.0,33275.0,32965.0,33490.0,33330.0,2011-01-18,False,147 days 00:00:00.000000000
2011-08-22,2011-08-22,RU1201.SHF,2012-01-13,309102.0,109845.0,,33855.0,33445.0,32835.0,32850.0,33600.0,2011-01-18,False,144 days 00:00:00.000000000
2011-08-23,2011-08-23,RU1201.SHF,2012-01-13,392511.0,103781.0,,33290.0,33040.0,32770.0,33120.0,33085.0,2011-01-18,False,143 days 00:00:00.000000000
2011-08-24,2011-08-24,RU1201.SHF,2012-01-13,274618.0,100003.0,,33450.0,33140.0,32970.0,33105.0,33420.0,2011-01-18,False,142 days 00:00:00.000000000
2011-08-25,2011-08-25,RU1201.SHF,2012-01-13,333804.0,95198.0,,33530.0,33245.0,33025.0,33180.0,33105.0,2011-01-18,False,141 days 00:00:00.000000000
2011-08-26,2011-08-26,RU1201.SHF,2012-01-13,346957.0,94538.0,,33285.0,32930.0,32715.0,33045.0,33280.0,2011-01-18,False,140 days 00:00:00.000000000
2011-08-29,2011-08-29,RU1201.SHF,2012-01-13,211352.0,93778.0,,33250.0,33060.0,32880.0,33155.0,33245.0,2011-01-18,False,137 days 00:00:00.000000000
2011-08-30,2011-08-30,RU1201.SHF,2012-01-13,328215.0,98037.0,,34165.0,33880.0,33360.0,34075.0,33475.0,2011-01-18,False,136 days 00:00:00.000000000
2011-08-31,2011-08-31,RU1201.SHF,2012-01-13,202970.0,97703.0,,34270.0,34125.0,33975.0,34240.0,34100.0,2011-01-18,False,135 days 00:00:00.000000000
2011-09-01,2011-09-01,RU1201.SHF,2012-01-13,257731.0,93701.0,,34380.0,34135.0,33940.0,33940.0,34170.0,2011-01-18,False,134 days 00:00:00.000000000
2011-09-02,2011-09-02,RU1201.SHF,2012-01-13,228906.0,89048.0,,34060.0,33825.0,33680.0,33750.0,33820.0,2011-01-18,False,133 days 00:00:00.000000000
2011-09-05,2011-09-05,RU1201.SHF,2012-01-13,300006.0,100741.0,,33860.0,33260.0,32770.0,32795.0,33645.0,2011-01-18,False,130 days 00:00:00.000000000
2011-09-06,2011-09-06,RU1201.SHF,2012-01-13,363084.0,104073.0,,33010.0,32655.0,32345.0,32910.0,32805.0,2011-01-18,False,129 days 00:00:00.000000000
2011-09-07,2011-09-07,RU1201.SHF,2012-01-13,332979.0,97081.0,,33850.0,33355.0,33030.0,33835.0,33200.0,2011-01-18,False,128 days 00:00:00.000000000
2011-09-08,2011-09-08,RU1201.SHF,2012-01-13,231543.0,92511.0,,34155.0,33885.0,33730.0,33765.0,34150.0,2011-01-18,False,127 days 00:00:00.000000000
2011-09-09,2011-09-09,RU1201.SHF,2012-01-13,334412.0,89811.0,,34180.0,33935.0,33700.0,34095.0,33820.0,2011-01-18,False,126 days 00:00:00.000000000
2011-09-13,2011-09-13,RU1201.SHF,2012-01-13,322945.0,91174.0,,34000.0,33605.0,33350.0,33680.0,33995.0,2011-01-18,False,122 days 00:00:00.000000000
2011-09-14,2011-09-14,RU1201.SHF,2012-01-13,434589.0,99224.0,,33960.0,33300.0,32770.0,32950.0,33810.0,2011-01-18,False,121 days 00:00:00.000000000
2011-09-15,2011-09-15,RU1201.SHF,2012-01-13,467397.0,102151.0,,33290.0,33060.0,32660.0,33065.0,33200.0,2011-01-18,False,120 days 00:00:00.000000000
2011-09-16,2011-09-16,RU1201.SHF,2012-01-13,434966.0,99432.0,,33800.0,33490.0,33260.0,33680.0,33290.0,2011-01-18,False,119 days 00:00:00.000000000
2011-09-19,2011-09-19,RU1201.SHF,2012-01-13,408044.0,123637.0,,33220.0,32500.0,31825.0,31925.0,33210.0,2011-01-18,False,116 days 00:00:00.000000000
2011-09-20,2011-09-20,RU1201.SHF,2012-01-13,423980.0,126136.0,,32120.0,31820.0,31545.0,31805.0,32000.0,2011-01-18,False,115 days 00:00:00.000000000
2011-09-21,2011-09-21,RU1201.SHF,2012-01-13,608147.0,118197.0,,32260.0,31755.0,31040.0,32060.0,31710.0,2011-01-18,False,114 days 00:00:00.000000000
2011-09-22,2011-09-22,RU1201.SHF,2012-01-13,475649.0,119218.0,,31000.0,30560.0,29845.0,30400.0,31000.0,2011-01-18,False,113 days 00:00:00.000000000
2011-09-23,2011-09-23,RU1201.SHF,2012-01-13,516157.0,116376.0,,29695.0,29220.0,28725.0,28735.0,29200.0,2011-01-18,False,112 days 00:00:00.000000000
2011-09-26,2011-09-26,RU1201.SHF,2012-01-13,504754.0,121689.0,,29150.0,28465.0,27465.0,27465.0,28725.0,2011-01-18,False,109 days 00:00:00.000000000
2011-09-27,2011-09-27,RU1201.SHF,2012-01-13,604180.0,111314.0,,28785.0,28415.0,27900.0,28250.0,28700.0,2011-01-18,False,108 days 00:00:00.000000000
2011-09-28,2011-09-28,RU1201.SHF,2012-01-13,674524.0,107550.0,,28485.0,27675.0,26740.0,27540.0,28395.0,2011-01-18,False,107 days 00:00:00.000000000
2011-09-29,2011-09-29,RU1201.SHF,2012-01-13,504525.0,93507.0,,26900.0,26495.0,26010.0,26635.0,26010.0,2011-01-18,False,106 days 00:00:00.000000000
2011-09-30,2011-09-30,RU1201.SHF,2012-01-13,415488.0,79069.0,,27880.0,27185.0,26765.0,27775.0,26800.0,2011-01-18,False,105 days 00:00:00.000000000
2011-10-10,2011-10-10,RU1201.SHF,2012-01-13,314049.0,91648.0,,28350.0,27950.0,27680.0,27825.0,28185.0,2011-01-18,False,95 days 00:00:00.000000000
2011-10-11,2011-10-11,RU1201.SHF,2012-01-13,447305.0,103481.0,,28870.0,28455.0,28050.0,28220.0,28380.0,2011-01-18,False,94 days 00:00:00.000000000
2011-10-12,2011-10-12,RU1201.SHF,2012-01-13,599862.0,105404.0,,29035.0,28475.0,27655.0,28900.0,28000.0,2011-01-18,False,93 days 00:00:00.000000000
2011-10-13,2011-10-13,RU1201.SHF,2012-01-13,460435.0,105056.0,,28910.0,28600.0,28350.0,28535.0,28705.0,2011-01-18,False,92 days 00:00:00.000000000
2011-10-14,2011-10-14,RU1201.SHF,2012-01-13,486993.0,108626.0,,28930.0,28660.0,28190.0,28870.0,28250.0,2011-01-18,False,91 days 00:00:00.000000000
2011-10-17,2011-10-17,RU1201.SHF,2012-01-13,444433.0,115707.0,,29500.0,29045.0,28680.0,28700.0,29120.0,2011-01-18,False,88 days 00:00:00.000000000
