date,date,specific_contract,last_trade_date,HIGH,OI,DEALNUM,VOLUME,SETTLE,LOW,CLOSE,OPEN,contract_issue_date,switch_contract,remain_days
2019-04-04,2019-04-04,EG1906.DCE,2019-06-25,4916.0,192208.0,25003.0,507945.0,4840.0,4761.0,4898.0,4841.0,2018-12-10,False,82 days 00:00:00.000000000
2019-04-08,2019-04-08,EG1906.DCE,2019-06-25,4968.0,208823.0,19257.0,308406.0,4913.0,4841.0,4857.0,4950.0,2018-12-10,False,78 days 00:00:00.000000000
2019-04-09,2019-04-09,EG1906.DCE,2019-06-25,4910.0,208786.0,20293.0,196756.0,4881.0,4852.0,4873.0,4856.0,2018-12-10,False,77 days 00:00:00.000000000
2019-04-10,2019-04-10,EG1906.DCE,2019-06-25,4905.0,199091.0,16950.0,163241.0,4883.0,4855.0,4871.0,4870.0,2018-12-10,False,76 days 00:00:00.000000000
2019-04-11,2019-04-11,EG1906.DCE,2019-06-25,4879.0,215999.0,19768.0,215013.0,4837.0,4805.0,4827.0,4871.0,2018-12-10,False,75 days 00:00:00.000000000
2019-04-12,2019-04-12,EG1906.DCE,2019-06-25,4836.0,213656.0,20897.0,233034.0,4803.0,4763.0,4828.0,4816.0,2018-12-10,False,74 days 00:00:00.000000000
2019-04-15,2019-04-15,EG1906.DCE,2019-06-25,4855.0,222069.0,18788.0,206705.0,4801.0,4742.0,4772.0,4850.0,2018-12-10,False,71 days 00:00:00.000000000
2019-04-16,2019-04-16,EG1906.DCE,2019-06-25,4774.0,228127.0,22363.0,252353.0,4720.0,4677.0,4707.0,4765.0,2018-12-10,False,70 days 00:00:00.000000000
2019-04-17,2019-04-17,EG1906.DCE,2019-06-25,4738.0,226223.0,15010.0,124934.0,4714.0,4695.0,4704.0,4707.0,2018-12-10,False,69 days 00:00:00.000000000
2019-04-18,2019-04-18,EG1906.DCE,2019-06-25,4737.0,215266.0,20338.0,240863.0,4711.0,4658.0,4707.0,4700.0,2018-12-10,False,68 days 00:00:00.000000000
2019-04-19,2019-04-19,EG1906.DCE,2019-06-25,4745.0,207574.0,16833.0,159231.0,4727.0,4710.0,4730.0,4715.0,2018-12-10,False,67 days 00:00:00.000000000
2019-04-22,2019-04-22,EG1906.DCE,2019-06-25,4797.0,182673.0,19676.0,240788.0,4760.0,4718.0,4736.0,4733.0,2018-12-10,False,64 days 00:00:00.000000000
2019-04-23,2019-04-23,EG1906.DCE,2019-06-25,4752.0,184468.0,14067.0,111492.0,4733.0,4714.0,4733.0,4736.0,2018-12-10,False,63 days 00:00:00.000000000
2019-04-24,2019-04-24,EG1906.DCE,2019-06-25,4728.0,193415.0,17395.0,156666.0,4691.0,4665.0,4679.0,4723.0,2018-12-10,False,62 days 00:00:00.000000000
2019-04-25,2019-04-25,EG1906.DCE,2019-06-25,4693.0,195347.0,17410.0,173717.0,4661.0,4622.0,4627.0,4682.0,2018-12-10,False,61 days 00:00:00.000000000
2019-04-26,2019-04-26,EG1906.DCE,2019-06-25,4664.0,190324.0,20788.0,232737.0,4578.0,4520.0,4549.0,4664.0,2018-12-10,False,60 days 00:00:00.000000000
2019-04-29,2019-04-29,EG1906.DCE,2019-06-25,4653.0,154859.0,17284.0,196419.0,4607.0,4539.0,4644.0,4542.0,2018-12-10,False,57 days 00:00:00.000000000
2019-04-30,2019-04-30,EG1909.DCE,2019-09-25,4758.0,161425.0,12020.0,80550.0,4732.0,4716.0,4721.0,4749.0,2018-12-10,True,148 days 00:00:00.000000000
2019-05-06,2019-05-06,EG1909.DCE,2019-09-25,4726.0,163174.0,9221.0,74137.0,4694.0,4666.0,4696.0,4691.0,2018-12-10,False,142 days 00:00:00.000000000
2019-05-07,2019-05-07,EG1909.DCE,2019-09-25,4725.0,174317.0,14629.0,114191.0,4708.0,4692.0,4712.0,4692.0,2018-12-10,False,141 days 00:00:00.000000000
2019-05-08,2019-05-08,EG1909.DCE,2019-09-25,4737.0,185099.0,16971.0,160365.0,4721.0,4697.0,4734.0,4697.0,2018-12-10,False,140 days 00:00:00.000000000
2019-05-09,2019-05-09,EG1909.DCE,2019-09-25,4739.0,188421.0,15846.0,153501.0,4710.0,4691.0,4702.0,4734.0,2018-12-10,False,139 days 00:00:00.000000000
2019-05-10,2019-05-10,EG1909.DCE,2019-09-25,4761.0,186081.0,18201.0,194353.0,4727.0,4698.0,4718.0,4706.0,2018-12-10,False,138 days 00:00:00.000000000
2019-05-13,2019-05-13,EG1909.DCE,2019-09-25,4718.0,221623.0,23818.0,297354.0,4639.0,4580.0,4582.0,4713.0,2018-12-10,False,135 days 00:00:00.000000000
2019-05-14,2019-05-14,EG1909.DCE,2019-09-25,4612.0,219651.0,27120.0,404182.0,4496.0,4408.0,4437.0,4571.0,2018-12-10,False,134 days 00:00:00.000000000
2019-05-15,2019-05-15,EG1909.DCE,2019-09-25,4492.0,218144.0,19800.0,220327.0,4462.0,4438.0,4455.0,4450.0,2018-12-10,False,133 days 00:00:00.000000000
2019-05-16,2019-05-16,EG1909.DCE,2019-09-25,4517.0,229433.0,23387.0,310869.0,4471.0,4430.0,4483.0,4450.0,2018-12-10,False,132 days 00:00:00.000000000
2019-05-17,2019-05-17,EG1909.DCE,2019-09-25,4500.0,253216.0,22767.0,291230.0,4447.0,4394.0,4404.0,4492.0,2018-12-10,False,131 days 00:00:00.000000000
2019-05-20,2019-05-20,EG1909.DCE,2019-09-25,4472.0,262597.0,23924.0,300832.0,4433.0,4394.0,4420.0,4406.0,2018-12-10,False,128 days 00:00:00.000000000
2019-05-21,2019-05-21,EG1909.DCE,2019-09-25,4465.0,258522.0,19967.0,206464.0,4443.0,4406.0,4447.0,4416.0,2018-12-10,False,127 days 00:00:00.000000000
2019-05-22,2019-05-22,EG1909.DCE,2019-09-25,4466.0,262172.0,26232.0,374649.0,4412.0,4356.0,4407.0,4445.0,2018-12-10,False,126 days 00:00:00.000000000
2019-05-23,2019-05-23,EG1909.DCE,2019-09-25,4427.0,261671.0,21128.0,220967.0,4404.0,4373.0,4403.0,4410.0,2018-12-10,False,125 days 00:00:00.000000000
2019-05-24,2019-05-24,EG1909.DCE,2019-09-25,4527.0,243691.0,27899.0,474798.0,4464.0,4395.0,4524.0,4397.0,2018-12-10,False,124 days 00:00:00.000000000
2019-05-27,2019-05-27,EG1909.DCE,2019-09-25,4563.0,235724.0,24730.0,323824.0,4525.0,4491.0,4503.0,4529.0,2018-12-10,False,121 days 00:00:00.000000000
2019-05-28,2019-05-28,EG1909.DCE,2019-09-25,4524.0,248129.0,26117.0,373756.0,4462.0,4427.0,4458.0,4517.0,2018-12-10,False,120 days 00:00:00.000000000
2019-05-29,2019-05-29,EG1909.DCE,2019-09-25,4519.0,241618.0,22013.0,233849.0,4488.0,4458.0,4489.0,4459.0,2018-12-10,False,119 days 00:00:00.000000000
2019-05-30,2019-05-30,EG1909.DCE,2019-09-25,4503.0,244258.0,21265.0,219186.0,4477.0,4455.0,4485.0,4473.0,2018-12-10,False,118 days 00:00:00.000000000
2019-05-31,2019-05-31,EG1909.DCE,2019-09-25,4529.0,246332.0,25205.0,304921.0,4502.0,4466.0,4492.0,4485.0,2018-12-10,False,117 days 00:00:00.000000000
2019-06-03,2019-06-03,EG1909.DCE,2019-09-25,4500.0,234595.0,23142.0,358240.0,4426.0,4380.0,4415.0,4492.0,2018-12-10,False,114 days 00:00:00.000000000
