date,HIGH,OI,specific_contract,DEALNUM,VOLUME,SETTLE,LOW,date,CLOSE,OPEN,last_trade_date,contract_issue_date,switch_contract,remain_days
2018-11-14,2462.0,10892.0,IH1811.CFE,,14690.0,2425.6,2421.2,2018-11-14,2428.6,2461.2,2018-11-16,2018-09-25,False,2 days 00:00:00.000000000
2018-11-15,2461.6,5573.0,IH1811.CFE,,10651.0,2456.8,2427.6,2018-11-15,2459.6,2432.4,2018-11-16,2018-09-25,False,1 days 00:00:00.000000000
2018-11-16,2481.2,0.0,IH1811.CFE,,4743.0,2471.92,2440.8,2018-11-16,2471.8,2457.0,2018-11-16,2018-09-25,False,0 days 00:00:00.000000000
2018-11-19,2501.4,21757.0,IH1812.CFE,,19300.0,2493.8,2467.4,2018-11-19,2499.8,2471.0,2018-12-21,2018-04-23,True,32 days 00:00:00.000000000
2018-11-20,2490.6,22093.0,IH1812.CFE,,19691.0,2451.4,2445.0,2018-11-20,2455.8,2486.8,2018-12-21,2018-04-23,False,31 days 00:00:00.000000000
2018-11-21,2463.6,21437.0,IH1812.CFE,,16411.0,2453.0,2436.0,2018-11-21,2453.2,2438.0,2018-12-21,2018-04-23,False,30 days 00:00:00.000000000
2018-11-22,2461.6,22088.0,IH1812.CFE,,17137.0,2443.4,2423.6,2018-11-22,2440.6,2460.0,2018-12-21,2018-04-23,False,29 days 00:00:00.000000000
2018-11-23,2447.0,22750.0,IH1812.CFE,,17759.0,2408.8,2403.2,2018-11-23,2405.0,2438.0,2018-12-21,2018-04-23,False,28 days 00:00:00.000000000
2018-11-26,2428.2,22647.0,IH1812.CFE,,16509.0,2402.0,2395.2,2018-11-26,2408.6,2414.0,2018-12-21,2018-04-23,False,25 days 00:00:00.000000000
2018-11-27,2419.4,22809.0,IH1812.CFE,,15896.0,2393.8,2388.8,2018-11-27,2395.4,2412.8,2018-12-21,2018-04-23,False,24 days 00:00:00.000000000
2018-11-28,2433.2,22926.0,IH1812.CFE,,18043.0,2423.2,2397.6,2018-11-28,2423.2,2399.6,2018-12-21,2018-04-23,False,23 days 00:00:00.000000000
2018-11-29,2442.0,22375.0,IH1812.CFE,,16754.0,2411.8,2407.2,2018-11-29,2412.2,2438.0,2018-12-21,2018-04-23,False,22 days 00:00:00.000000000
2018-11-30,2438.6,22618.0,IH1812.CFE,,17791.0,2432.2,2410.4,2018-11-30,2432.4,2412.8,2018-12-21,2018-04-23,False,21 days 00:00:00.000000000
2018-12-03,2505.4,22660.0,IH1812.CFE,,20556.0,2489.0,2471.2,2018-12-03,2488.8,2498.0,2018-12-21,2018-04-23,False,18 days 00:00:00.000000000
2018-12-04,2506.0,23495.0,IH1812.CFE,,22075.0,2497.2,2480.8,2018-12-04,2500.4,2485.4,2018-12-21,2018-04-23,False,17 days 00:00:00.000000000
2018-12-05,2500.0,23007.0,IH1812.CFE,,22638.0,2490.6,2475.2,2018-12-05,2490.0,2477.0,2018-12-21,2018-04-23,False,16 days 00:00:00.000000000
2018-12-06,2468.4,21701.0,IH1812.CFE,,22210.0,2444.0,2440.8,2018-12-06,2443.8,2460.2,2018-12-21,2018-04-23,False,15 days 00:00:00.000000000
2018-12-07,2453.6,20233.0,IH1812.CFE,,14849.0,2436.4,2433.2,2018-12-07,2433.4,2452.4,2018-12-21,2018-04-23,False,14 days 00:00:00.000000000
2018-12-10,2433.4,22073.0,IH1812.CFE,,16087.0,2418.0,2406.2,2018-12-10,2416.8,2419.8,2018-12-21,2018-04-23,False,11 days 00:00:00.000000000
2018-12-11,2425.8,21267.0,IH1812.CFE,,13992.0,2417.4,2411.0,2018-12-11,2423.2,2418.0,2018-12-21,2018-04-23,False,10 days 00:00:00.000000000
2018-12-12,2439.6,21776.0,IH1812.CFE,,16494.0,2428.4,2420.2,2018-12-12,2427.0,2439.4,2018-12-21,2018-04-23,False,9 days 00:00:00.000000000
