日期,华北电石法 SG5
2013-10-21,6440.0
2013-10-22,6430.0
2013-10-23,6430.0
2013-10-24,6400.0
2013-10-25,6400.0
2013-10-28,6400.0
2013-10-29,6400.0
2013-10-30,6400.0
2013-10-31,6380.0
2013-11-01,6380.0
2013-11-04,6380.0
2013-11-05,6350.0
2013-11-06,6320.0
2013-11-07,6290.0
2013-11-08,6290.0
2013-11-11,6290.0
2013-11-12,6290.0
2013-11-13,6290.0
2013-11-14,6290.0
2013-11-15,6290.0
2013-11-18,6290.0
2013-11-19,6290.0
2013-11-20,6290.0
2013-11-21,6290.0
2013-11-22,6290.0
2013-11-25,6290.0
2013-11-26,6290.0
2013-11-27,6290.0
2013-11-28,6270.0
2013-11-29,6270.0
2013-12-02,6270.0
2013-12-03,6270.0
2013-12-04,6270.0
2013-12-05,6270.0
2013-12-06,6250.0
2013-12-09,6250.0
2013-12-10,6250.0
2013-12-11,6240.0
2013-12-12,6240.0
2013-12-13,6240.0
2013-12-16,6240.0
2013-12-17,6240.0
2013-12-18,6240.0
2013-12-19,6240.0
2013-12-20,6240.0
2013-12-23,6240.0
2013-12-24,6240.0
2013-12-25,6240.0
2013-12-26,6230.0
2013-12-27,6230.0
2013-12-30,6230.0
2013-12-31,6230.0
2014-01-02,6230.0
2014-01-03,6230.0
2014-01-06,6230.0
2014-01-07,6200.0
2014-01-08,6200.0
2014-01-09,6200.0
2014-01-10,6200.0
2014-01-13,6200.0
2014-01-14,6200.0
2014-01-15,6200.0
2014-01-16,6200.0
2014-01-17,6200.0
2014-01-20,6200.0
2014-01-21,6200.0
2014-01-22,6200.0
2014-01-23,6200.0
2014-01-24,6200.0
2014-01-27,6200.0
2014-01-28,6200.0
2014-01-29,6200.0
2014-01-30,6200.0
2014-02-07,6200.0
2014-02-10,6200.0
2014-02-11,6200.0
2014-02-12,6200.0
2014-02-13,6200.0
2014-02-14,6200.0
2014-02-17,6200.0
2014-02-18,6200.0
2014-02-19,6200.0
2014-02-20,6200.0
2014-02-21,6200.0
2014-02-24,6180.0
2014-02-25,6180.0
2014-02-26,6180.0
2014-02-27,6150.0
2014-02-28,6120.0
2014-03-03,6100.0
2014-03-04,6100.0
2014-03-05,6080.0
2014-03-06,6080.0
2014-03-07,6060.0
2014-03-10,6020.0
2014-03-11,6020.0
2014-03-12,6000.0
2014-03-13,6000.0
2014-03-14,5980.0
2014-03-17,5950.0
2014-03-18,5910.0
2014-03-19,5880.0
2014-03-20,5850.0
2014-03-21,5850.0
2014-03-24,5850.0
2014-03-25,5850.0
2014-03-26,5850.0
2014-03-27,5850.0
2014-03-28,5850.0
2014-03-31,5850.0
2014-04-01,5850.0
2014-04-02,5850.0
2014-04-03,5850.0
2014-04-04,5850.0
2014-04-08,5850.0
2014-04-09,5850.0
2014-04-10,5850.0
2014-04-11,5870.0
2014-04-14,5890.0
2014-04-15,5890.0
2014-04-16,5890.0
2014-04-17,5890.0
2014-04-18,5890.0
2014-04-21,5890.0
2014-04-22,5890.0
2014-04-23,5890.0
2014-04-24,6040.0
2014-04-25,6040.0
2014-04-28,6040.0
2014-04-29,6040.0
2014-04-30,6040.0
2014-05-05,6040.0
2014-05-06,6040.0
2014-05-07,6040.0
2014-05-08,6040.0
2014-05-09,6040.0
2014-05-12,6040.0
2014-05-13,6040.0
2014-05-14,6040.0
2014-05-15,6040.0
2014-05-16,6040.0
2014-05-19,6040.0
2014-05-20,6040.0
2014-05-21,6040.0
2014-05-22,6040.0
2014-05-23,6040.0
2014-05-26,6040.0
2014-05-27,6040.0
2014-05-28,6040.0
2014-05-29,6010.0
2014-05-30,6000.0
2014-06-03,6000.0
2014-06-04,6000.0
2014-06-05,6000.0
2014-06-06,6000.0
2014-06-09,6000.0
2014-06-10,6000.0
2014-06-11,6000.0
2014-06-12,6000.0
2014-06-13,6000.0
2014-06-16,6000.0
2014-06-17,6000.0
2014-06-18,6000.0
2014-06-19,6000.0
2014-06-20,6000.0
2014-06-23,6000.0
2014-06-24,6000.0
2014-06-25,6000.0
2014-06-26,6000.0
2014-06-27,6000.0
2014-06-30,6000.0
2014-07-01,6000.0
2014-07-02,6000.0
2014-07-03,6000.0
2014-07-04,6000.0
2014-07-07,6000.0
