日期,LL华东
2016-06-02,8700.0
2016-06-03,8700.0
2016-06-06,8750.0
2016-06-07,8750.0
2016-06-08,8750.0
2016-06-13,8700.0
2016-06-14,8750.0
2016-06-15,8750.0
2016-06-16,8800.0
2016-06-17,8800.0
2016-06-20,8900.0
2016-06-21,8900.0
2016-06-22,8900.0
2016-06-23,8900.0
2016-06-24,8900.0
2016-06-27,8950.0
2016-06-28,9050.0
2016-06-29,9100.0
2016-06-30,9100.0
2016-07-01,9100.0
2016-07-04,9200.0
2016-07-05,9200.0
2016-07-06,9200.0
2016-07-07,9200.0
2016-07-08,9100.0
2016-07-11,9100.0
2016-07-12,9150.0
2016-07-13,9150.0
2016-07-14,9100.0
2016-07-15,9100.0
2016-07-18,9100.0
2016-07-19,9000.0
2016-07-20,8950.0
2016-07-21,8950.0
2016-07-22,8950.0
2016-07-25,8950.0
2016-07-26,8850.0
2016-07-27,8900.0
2016-07-28,9000.0
2016-07-29,9000.0
2016-08-01,9150.0
2016-08-02,9150.0
2016-08-03,9150.0
2016-08-04,9150.0
2016-08-05,9100.0
2016-08-08,9100.0
2016-08-09,9150.0
2016-08-10,9200.0
2016-08-11,9200.0
2016-08-12,9170.0
2016-08-15,9200.0
2016-08-16,9230.0
2016-08-17,9230.0
2016-08-18,9250.0
2016-08-19,9350.0
2016-08-22,9400.0
2016-08-23,9400.0
2016-08-24,9400.0
2016-08-25,9450.0
2016-08-26,9450.0
2016-08-29,9450.0
2016-08-30,9450.0
2016-08-31,9450.0
2016-09-01,9400.0
2016-09-02,9400.0
2016-09-05,9300.0
2016-09-06,9200.0
2016-09-07,9150.0
2016-09-08,9150.0
2016-09-09,9150.0
2016-09-12,9150.0
2016-09-13,9150.0
2016-09-14,9100.0
2016-09-19,9000.0
2016-09-20,9050.0
2016-09-21,9050.0
2016-09-22,9050.0
2016-09-23,9000.0
2016-09-26,9000.0
2016-09-27,8950.0
2016-09-28,8950.0
2016-09-29,9000.0
2016-09-30,9000.0
2016-10-10,9450.0
2016-10-11,9450.0
2016-10-12,9450.0
2016-10-13,9450.0
2016-10-14,9450.0
2016-10-17,9450.0
2016-10-18,9450.0
2016-10-19,9450.0
2016-10-20,9450.0
2016-10-21,9450.0
2016-10-24,9500.0
2016-10-25,9650.0
2016-10-26,9680.0
2016-10-27,9700.0
2016-10-28,9700.0
2016-10-31,9800.0
2016-11-01,10050.0
2016-11-02,10100.0
2016-11-03,10100.0
2016-11-04,10150.0
2016-11-07,10100.0
2016-11-08,10100.0
2016-11-09,10200.0
2016-11-10,10200.0
2016-11-11,10250.0
2016-11-14,10200.0
