,close,close_dt,close_exchange_rate,commodity,contract,count,direction,holding_period,multiplier,open,open_dt,open_exchange_rate,pnl,rtn,tcost,tcost_mode,tcost_unit,volume
55,16180.0,2016-11-21,1.0,RU,RU.SHF,4,-1.0,13.0,10,15135.0,2016-11-09,1.0,-31350.0,-0.06904525933267261,0,,,3.0
56,18545.0,2016-12-07,1.0,RU,RU.SHF,5,-1.0,17.0,10,16720.0,2016-11-21,1.0,-36500.0,-0.10915071770334928,0,,,2.0
57,18500.0,2017-01-05,1.0,RU,RU.SHF,6,-1.0,46.0,10,16720.0,2016-11-21,1.0,-17800.0,-0.10645933014354067,0,,,1.0
58,11080.0,2018-03-29,1.0,RU,RU.SHF,7,1.0,4.0,10,11205.0,2018-03-26,1.0,-5000.0,-0.011155734047300312,0,,,4.0
59,11575.0,2018-04-25,1.0,RU,RU.SHF,8,1.0,28.0,10,11470.0,2018-03-29,1.0,4200.0,0.009154315605928508,0,,,4.0
60,10895.0,2018-11-30,1.0,RU,RU.SHF,9,1.0,23.0,10,11310.0,2018-11-08,1.0,-8300.0,-0.03669319186560566,0,,,2.0
61,11235.0,2018-12-06,1.0,RU,RU.SHF,10,1.0,7.0,10,11145.0,2018-11-30,1.0,1800.0,0.008075370121130552,0,,,2.0
62,2930.0,2017-02-28,1.0,BU,BU.SHF,1,1.0,36.0,10,2582.0,2017-01-24,1.0,66120.0,0.13477924089852827,0,,,19.0
63,2310.0,2017-06-29,1.0,BU,BU.SHF,2,1.0,29.0,10,2332.0,2017-06-01,1.0,-4620.0,-0.009433962264150943,0,,,21.0
64,2644.0,2017-08-02,1.0,BU,BU.SHF,3,1.0,28.0,10,2354.0,2017-07-06,1.0,60900.0,0.1231945624468989,0,,,21.0
65,2718.0,2017-08-03,1.0,BU,BU.SHF,4,1.0,2.0,10,2728.0,2017-08-02,1.0,-2100.0,-0.0036656891495601175,0,,,21.0
66,2532.0,2017-11-21,1.0,BU,BU.SHF,5,1.0,7.0,10,2560.0,2017-11-15,1.0,-5600.0,-0.0109375,0,,,20.0
67,2612.0,2017-12-13,1.0,BU,BU.SHF,6,1.0,23.0,10,2676.0,2017-11-21,1.0,-12800.0,-0.02391629297458894,0,,,20.0
68,3208.0,2018-07-02,1.0,BU,BU.SHF,7,-1.0,60.0,10,2978.0,2018-05-04,1.0,-39100.0,-0.07723304231027535,0,,,17.0
69,3410.0,2018-08-14,1.0,BU,BU.SHF,8,-1.0,29.0,10,3230.0,2018-07-17,1.0,-27000.0,-0.05572755417956656,0,,,15.0
70,3250.0,2019-03-11,1.0,BU,BU.SHF,9,-1.0,29.0,10,3248.0,2019-02-11,1.0,-320.0,-0.0006157635467980296,0,,,16.0
71,2930.0,2017-01-05,1.0,RB,RB.SHF,1,-1.0,30.0,10,3223.0,2016-12-07,1.0,17580.0,0.09090909090909091,0,,,6.0
72,2925.0,2017-04-25,1.0,RB,RB.SHF,2,1.0,33.0,10,3130.0,2017-03-24,1.0,-22550.0,-0.06549520766773163,0,,,11.0
73,3858.0,2018-01-11,1.0,RB,RB.SHF,3,-1.0,30.0,10,3884.0,2017-12-13,1.0,3380.0,0.006694129763130793,0,,,13.0
74,,,1.0,RB,RB.SHF,4,1.0,,10,3492.0,2019-04-02,1.0,,,0,,,6.0
75,542.5,2017-01-05,1.0,I,I.DCE,1,1.0,30.0,100,605.0,2016-12-07,1.0,-18750.0,-0.10330578512396695,0,,,3.0
76,505.0,2017-04-25,1.0,I,I.DCE,2,-1.0,33.0,100,574.0,2017-03-24,1.0,41400.0,0.12020905923344948,0,,,6.0
77,,,1.0,I,I.DCE,3,-1.0,,100,648.0,2019-04-02,1.0,,,0,,,3.0
78,3888.0,2018-01-11,1.0,HC,HC.SHF,1,1.0,30.0,10,3919.0,2017-12-13,1.0,-4030.0,-0.007910181168665476,0,,,13.0
79,3374.0,2019-01-07,1.0,HC,HC.SHF,2,1.0,33.0,10,3392.0,2018-12-06,1.0,-900.0,-0.005306603773584905,0,,,5.0
80,,,1.0,HC,HC.SHF,3,-1.0,,10,3770.0,2019-04-02,1.0,,,0,,,5.0
81,3846.0,2018-07-16,1.0,FU,FU.SHF,1,-1.0,411.0,10,3779.0,2017-06-01,1.0,-8710.0,-0.017729558084149246,0,,,13.0
82,3182.0,2018-08-14,1.0,FU,FU.SHF,2,1.0,29.0,10,2951.0,2018-07-17,1.0,39270.0,0.07827854964418841,0,,,17.0
83,2820.0,2019-03-11,1.0,FU,FU.SHF,3,1.0,29.0,10,2685.0,2019-02-11,1.0,24300.0,0.05027932960893855,0,,,18.0
