,每日PnL,净值,资金占用比例,杠杆倍数,换手率
2017-05-08,2750.0,1.51088,0.040517281319495925,0.874525,0.021899
2017-05-09,3990.0,1.5148700000000002,0.03853208526144158,0.79493,0.09843315000000001
2017-05-10,11540.0,1.52641,0.03347239601417706,0.69188,0.06340670000000001
2017-05-11,-5450.0,1.52096,0.0394769093204292,0.81854,0.015913100000000003
2017-05-12,-6110.0,1.51485,0.03897725847443641,0.80481,0.0
2017-05-15,610.0,1.51546,0.04436217386140182,0.92123,0.04664870000000001
2017-05-16,-2115.0,1.5133450000000002,0.04222797841866858,0.87315,0.03297665
2017-05-17,15970.0,1.529315,0.046035120298957385,0.96636,0.0245924
2017-05-18,705.0,1.53002,0.04187308009045634,0.876695,0.0417662
2017-05-19,10030.0,1.54005,0.044345930326937434,0.936285,0.015406300000000001
2017-05-22,560.0,1.54061,0.043788401996611735,0.924155,0.052773
2017-05-23,3710.0,1.54432,0.04436671156237049,0.93892,0.04513775
2017-05-24,-1460.0,1.5428600000000001,0.041016229599574815,0.86489,0.023965900000000002
2017-05-25,-1665.0,1.541195,0.04391345676569156,0.92756,0.02377585
2017-05-26,8530.0,1.549725,0.04489970801271193,0.95556,0.047252100000000005
2017-05-31,-870.0,1.548855,0.039967814934257884,0.848605,0.06944385
2017-06-01,-3585.0,1.54527,0.04398266969526361,0.97093,0.049059200000000004
2017-06-02,-1585.0,1.543685,0.045909366224326856,0.97698,0.05712765000000001
2017-06-05,285.0,1.5439699999999998,0.045867212445837684,0.97588,0.04147675000000001
2017-06-06,-420.0,1.54355,0.04776537851057628,1.017675,0.052234350000000006
2017-06-07,540.0,1.54409,0.04790015478372375,1.020745,0.0
2017-06-08,5050.0,1.54914,0.05169761932427024,1.108655,0.018293800000000002
2017-06-09,5035.0,1.5541749999999999,0.04975038203548507,1.06894,0.0031220000000000006
2017-06-12,325.0,1.5545,0.044982791894499836,0.962725,0.025076800000000003
2017-06-13,-4950.0,1.54955,0.04042383272563003,0.859625,0.06006000000000001
2017-06-14,-3525.0,1.546025,0.04583282935269482,0.97541,0.022314600000000004
2017-06-15,6065.0,1.55209,0.04752665760361834,1.017095,0.036736
2017-06-16,-1565.0,1.550525,0.046285741926121796,0.98846,0.0392469
2017-06-19,580.0,1.551105,0.04065330844784847,0.864565,0.04943995
2017-06-20,250.0,1.551355,0.043857563226985447,0.935895,0.034976200000000006
2017-06-21,260.0,1.551615,0.044165530753440777,0.94307,0.014169049999999999
2017-06-22,1860.0,1.5534750000000002,0.038936899531695074,0.82865,0.0439768
2017-06-23,3905.0,1.55738,0.04085573206282347,0.87277,0.01396535
2017-06-26,2520.0,1.5598999999999998,0.046495384319507664,0.999745,0.025005050000000004
2017-06-27,-2545.0,1.557355,0.04988978107111096,1.07293,0.044466799999999994
2017-06-28,1145.0,1.5585,0.05003512993262753,1.076625,0.025942000000000003
2017-06-29,-1315.0,1.557185,0.05130578576084409,1.06418,0.09324070000000001
2017-06-30,4575.0,1.56176,0.04636554272103269,0.996355,0.08720030000000001
2017-07-03,7225.0,1.568985,0.04724873086740791,1.020465,0.05067615000000001
2017-07-04,6390.0,1.575375,0.03673207966357216,0.79034,0.04980255
2017-07-05,-5685.0,1.56969,0.04628324701055623,1.001205,0.07925330000000001
2017-07-06,1775.0,1.571465,0.041588549538169796,0.896785,0.033398750000000005
2017-07-07,700.0,1.572165,0.0378694666272306,0.813715,0.0285859
